,,Author,Date,Cool,Funny,Useful,Rating,Message,Author Reviews,Author Friends,(view source)
1,,Schyler P.,11/11/16,2,1,3,4,"Alas, I must update my review for Brazos. I am now such a fan! I have learned that you just have to choose the right tacos. The right ones are amazing and I have still encountered some that are just okay from the last couple of times I went. I definitely still avoid the chorizo ones because I did have one that had some chorizo in it and I felt the same about those as I did the first time.

Anyways, the moment I realize that they have great tacos is when I went at breakfast. And had their tacos with GARLIC MASHED POTATOES in them. That honestly makes everything so great. Coupled with eggs and queso fresco among other ingredients, you really can't go wrong. Highly recommend any of the tacos with the mashed potatoes in them. My absolute favorite taco so far has got to be the one of the vegetarian ones. Sweet potatoes, mushrooms, and those delicious mashed potatoes all in one? Incredible. Would definitely get this over and over again!",315,103,view review
2,,Alyssa A.,11/04/17,,,1,2,"I had received catering from this place a few times before and it was pretty good. I was excited to try out the actual restaurant. 

We arrived around 630 and ordered a few tacos. I did not receive my tacos till around 730pm. An hour for a few tacos is terrible! On top of that some people at my table took about 1hr  and 20 min to receive just a few tacos. I understand that issues can happen but this was extremely inconvenient to the table and our plans for afterwards.

Service: 0 stars 

Food: 4 stars, carnitas was great

Ambience: 3 stars (casual and cute. But they turned the lights off at 8pm..and we still hadn't received some food.)

For a fast casual place, I would go for something faster. I think I'll stick to trying these tacos not at the restaurant.",385,674,view review
3,,Vicky T.,16/04/17,1,,,4,"I loved the steak and pork belly taco the best! Loved the toppings, slice of avocado was delicious and fresh and overall great experience, nice out door sitting area.",608,802,view review
4,,Shelley R.,14/06/17,2,1,2,5,"Yummmm anytime you come here, there will be something you like! The staff is so patient and will explain the different options. They also have outdoor seating, and there were a few people that brought their dogs.
The breakfast tacos are my favorite, and I can't wait to go back!!",469,44,view review
5,,Bruce K.,21/08/17,13,9,15,5,"I was here before 8am and that's ""happy hour"" with a BOGO on tacos. Awesome because their tacos are twice as good when they're half off!

I chose two and they were made fresh to order. The ""I Love You So Much"" which is awesome to order, and the ""Yam and Eggs."" They were brought to my table outside (outside!) a few minutes later. Absolutely awesome tacos. The chorizo was just a little spicy and the small cubes of sweet potato were just perfectly soft. Both were delicious and very enjoyable. If I had to choose,  I'd say that I enjoyed the ILYSM just a little bit more.

Brazos is in an interesting part of Charlottesville. Trust your GPS and you'll be fine. Yes, that's a road.",23666,2220,view review
6,,Michelle W.,12/12/17,1,,1,5,"Hands down some of the best tacos I've ever had.  If you're in C'ville you have to try this place -- and if you're a student make sure you eat a ton before you graduate.

Breakfast and regular tacos are amazing-- you really can't go wrong with anything on the menu.  My favorite is the la tia -- creamy potato combined with meaty, spicy ground meat.  Who knew mashed potato could taste so freakin' good in a taco?  

Not necessarily the cheapest tacos but they aren't that small either - 2 or 3 will do just fine.",219,768,view review
7,,Alice M.,28/12/17,1,,3,2,"I know Charlottesville is not known for its Mexican food, but Brazos had been recommended to me by multiple people so I was excited to check it out. 

There is plenty of parking and lots of taco options, especially if you get there before 10:30AM and can order off the breakfast taco menu. 

We got the chip & dip combo platter and 4 different tacos. My watermelon margarita was pretty good and I really liked their ají verde salsa-- super spicy!! 

Now for the bad news. Our tacos didn't look appetizing, and the pork carnitas smelled a little off. It tasted old too. Neither of us could finish that taco. 

The chips & dip was also super disappointing. The guacamole tasted packaged and the queso was very bland and had a weird film on it. The chips were another letdown-- cold and broken as if they were from the bottom of a bag. I saw someone taking out the trash and it looks like they were Santitas-- aka the cheapest brand that you can get at any grocery store. 

Overall, disappointing!! I won't be back.",170,231,view review
8,,Christina D.,04/01/18,,,1,4,"Great tacos! One taco is actually really filling. They do not skimp on the fillings and the ingredients are really fresh. I got the la tia which has: picadillo beef, mashed potatoes, corn pico, white onion, queso fresco, cilantro. The mashed potatoes sounds weird but it worked really really well. I was very happy with that. 

My fiance got the philly and the FTW: Beef brisket, house-made chorizo, avocado and jack cheese. Personally, I didnt love either one but it was flavorful! 

We also shared the Whole Shebang so we were pretty full once the tacos came out. I would definitely recommend getting the chorizo! The queso is on point. Very creamy and delicious. The chorizo is on the saltier side so if you are salt cautious then get it on the side like we did. 

Had to knock one star because of the price. A little on the pricey side in my opinion. But if you are like me and only need one taco and some chips for lunch then this is a great spot!",163,51,view review
9,,Thuy H.,05/01/18,,,1,4,"Brazos always satisfies my taco cravings! It is definitely one of my favorite restaurants in Charlottesville. I've been here a couple of time but my most recent visit was amazing.

Three tacos is all I need to fill me up. I got the Fish Aficionado, Guisada, and the Carnitas. My favorite was definitely the Fish Aficionado which consisted of blackened tilapia, red cabbage slaw, red onion, cilantro, and lime. The fish was cooked perfectly and was super flavorful. The Guisada was also really good. It had stewed brisket, jalapeños, and white onion. The brisket was incredibly soft and savory. As for the Carnitas, I thought it was just okay. It was kind of dry in my opinion and the flavors didn't stand out as much as the other tacos I tried that day. 

Note: You HAVE to try the salsas. There are three kinds: salsa roja, salsa verde, and el jefe. They enhance the tacos' flavors but, beware, they are spicy.",222,186,view review
10,,Anne C.,26/03/18,,,1,5,"Looking for hipster tacos? This is the place. There are plenty of parking spaces outside this taco palace tucked inside of IX park. The tacos are a little on the pricier side, but for the creative flavors, I'll cough up a few extra dollars any day. From breakfast tacos to Tex-Mex standards to fusion flavors, there's something for everyone here. 

I would recommend getting three tacos for a good sized meal. My favorites are the Pork Star (pork belly that has just the perfect amount of fattiness, paired with a refreshing watermelon pickle and must-have avocado) and Fish Aficionado (blackened tilapia with classic red turnip slices). 

Their drink menu is innovative (jalapeño margarita, anyone?), refreshing, and packed with flavor. Their guacamole is solid, and their salsas complement chips, tacos...everything nicely. 

Don't forget to enroll in their rewards program at check out because chances are you'll be back for more soon!",106,84,view review
