Author,Date,Cool,Funny,Useful,Rating,Message,Author Reviews,Author Friends,Author ID,Location,Profile URL,Profile Photo,URL,
Pui Ying S.,2/27/09 3:55,1,0,0,0,4,"This place is super cute and has a nice rustic feel to it. It has actually a very small dining area and if you go as a couple, get the ""love table"", it's a little long table and you both sit on the same side.

We ate downstairs where the bar was and had just appetizers. The service was very good and attentive. The bread was warm, crusty on the outside and chewy on the inside. The artichoke pate was delicious and had lots of pickles, olives, and croutons. The squash soup was creamy, peppery. A+. 

They do catering and also have two large rooms that are for private parties. Look on the website they are very charming.

The decor is rustic, but the clientele is a little older and not as ""hip"".",233,11,#NAME?,"Washington, DC",https://www.yelp.com/user_details?userid=-dWrwBf7vq8GjztAb9K0Cg,https://s3-media0.fl.yelpcdn.com/photo/FBabo71m0V7Hv0Sdt9hy7A/180s.jpg,https://www.yelp.com/biz/c-and-o-restaurant-charlottesville?hrid=
Elizabeth F.,1/18/11 0:48,0,0,0,0,5,"This is my favorite place in Charlottesville.  I have always loved eating here so much that C&O catered my wedding a few years back (Dave Simpson and company are absolute masters at event management).

This place has the whole package - exceptional food, exceptional service and atmosphere.  I especially enjoy sitting downstairs with the bar.",693,162,gxiBfTu1pzejwEsTZfFYaA,"Tuckahoe, VA",https://www.yelp.com/user_details?userid=gxiBfTu1pzejwEsTZfFYaA,https://s3-media0.fl.yelpcdn.com/photo/OjYmWfE692NSGUWaE7YFqQ/180s.jpg,https://www.yelp.com/biz/c-and-o-restaurant-charlottesville?hrid=
Jennifer M.,1/25/11 5:25,2,0,0,2,5,"****4.5 stars***

When better to stuff my face at places on my to go list than during Restaurant Week? C&O has been on my to go list of popular, high-rated dining experiences for a while now.

C&O is located at the end of the downtown mall a little past the Melting Pot in an antiquated building with what looks to be boarded up doors or windows or something in the front. When you enter, there is a small (by small I mean that it can fit 8-10 people) reception area with a fireplace. Beyond that, there is a dining space that looks like a long, narrow hallway. If you look closer though, you'll see that it is in fact a tiny room with a few tables cleverly reflected in a wall mirror. There is a bar off to another side room and an upstairs seating area as well.

While C&O definitely qualifies as fine dining, it aims to provide a comfortable atmosphere in it's traditional Virginia setting. Service was stellar and friendly (and thankful in one event) when I called several times on the phone as well as during our dinner.

To start, I had the arepa with braised pork, ricotta cheese, and pickled onions. This was an app that blew me away. The ricotta was housemade and not overpowering. The braised shredded pork was flavorful and tender. And I really liked the pickled red onions. Everything came together well on the arepa, a thick corn flour tortilla/bread, which may have been a little too thick as it tended to overpower some of the ingredients on top with its doughiness.

I had the bistro steak with sauce bordelaise. I do not think the cut of steak selected for the dish did it justice. Bistro steak tends to be soft on the outside but sinewy on the inside. However this cut of bistro steak may have been a little more sinewy than usual (only reason for 4.5 stars). Even with medium rare to avoid any toughness, I had a hard time cutting (much less chewing) this steak. As did others of my group. The outside had a nice smokey, seared flavor and went wonderfully with the red wine sauce and mashed potatoes (very flavorful with skin, the best kind of mashed potatoes) and some garlic sauteed asparagus (which were very fresh and young).

For dessert: the yummy Chocolate Pot de Creme. By this time, I was extremely full but I didn't want this excellent dessert to go to waste. It was not a rich chocolate and it had hints of cinnamon and/or nutmeg that made it unique and tasty.

Other notes: Crab and polenta looked tempting. Linguine with littleneck clams were housemade with beautiful coloring and thickness, served with whole large clam and not those dinky ones that come in canned soups. Creme brulee had beautiful looking and tasting caramelization, however the layer of custard itself was very thin. Cobblers came out piping hot and looked delicious.",497,459,V30Fh9_4AdsLdnl44GUg3A,"Kirkland, WA",https://www.yelp.com/user_details?userid=V30Fh9_4AdsLdnl44GUg3A,https://s3-media0.fl.yelpcdn.com/photo/ckdF6z9GN-kUQz2zt8D3pQ/180s.jpg,https://www.yelp.com/biz/c-and-o-restaurant-charlottesville?hrid=
Dave W.,11/27/11 23:57,0,0,0,0,4,"This place came highly recommended - both from our hotel concierge, numerous pieces of printed material and many comments from people in the area. I can tell you, however, to ignore your first impression of the place - an old Pepsi sing hangs on the front of an older brick building, paint peeling from an old sign on the wall as well.

There was a film festival going on the weekend we were in town but we stopped in on a Friday to see if we could get a table somehow (everyone told us it would be impossible and they were right). The owner, David Simpson, was kind enough to give us a guided tour of the premises - up, down and outside. Everywhere we looked people seemed to be having a great time. We decided to try again before we left town.

Sunday night - we're in! David wasn't there but the hostess couldn't have been nicer and we were quickly seated in the downstairs dining room, which is also the bar.

Appetizers consisted of a House Salad for Carol and Local Chicken Soup with White Beans, topped with Chimichurri (fabulous). Entrees consisted of Blackened Alaska Salmon served with a sauteed potato/clam cake and buerre blanc. I had the Cuban Strip Steak with red onion Marmalade. Both entrees were excellent and the leftovers were nonexistent. 

Can't remember the wine we had with dinner but dessert for me consisted of a glass of Eades 17yr old Single Malt Speyside Scotch.

Wonderful place, great atmosphere and ambiance coupled with extremely attentive and outgoing staff.",909,292,0_NbnQy2AwOUDtDUr4uDTg,"Jackson, NJ",https://www.yelp.com/user_details?userid=0_NbnQy2AwOUDtDUr4uDTg,https://s3-media0.fl.yelpcdn.com/photo/UkvQzoO-Sihfv5hx-yynxw/180s.jpg,https://www.yelp.com/biz/c-and-o-restaurant-charlottesville?hrid=
Kimya P.,3/24/13 20:54,0,0,0,2,5,"Amazing - everything from service to food to atmosphere.  A little over $100 before tip for two appetizers, two entrees, and four cocktails.  Great value for high-quality ingredients and delicious flavors. 

For our appetizers, we had the boston lettuce salad with pommery mustard dressing and the buffalo mozzarella which came with mushrooms and greens.  For our entrees, my partner ordered the steak chinoise (the forkful of steak and mashed potatoes dipped in the ginger sauce more or less melted in my mouth!) and I had the lamb and gnocchi (my mouth waters just remembering the complex flavor combinations of this dish).  I would not hesitate to order all of these again.  Of the drinks, my favorite was their hot toddy made with black tea, bourbon, and plenty of cloves!

C&O is a tiny three story restaurant located off the downtown mall. The ambiance is romantic and classic (dark wood and brick walls, dim lighting, waiters and staff are dressed in black and looking good).  I would not hesitate to recommend the experience to locals and visitors - it was a perfect (and delicious) evening out!",327,104,vguybeVhVDGETEm68XzggQ,"Washington, DC",https://www.yelp.com/user_details?userid=vguybeVhVDGETEm68XzggQ,https://s3-media0.fl.yelpcdn.com/photo/u-VSByySfX4Ej-5ibj-JbA/180s.jpg,https://www.yelp.com/biz/c-and-o-restaurant-charlottesville?hrid=
Han V.,3/25/13 18:51,4,2,2,5,2,"The old building gives a quaint, homey setting to your meal. Unfortunately, my group didn't feel very welcomed by the waitstaff here. We felt like they snubbed us for the entire time we were there. We were probably the youngest group in the place and I think they just wanted us to get out of there. 

As for their food--- it was all overpriced for average tasting food. I thought my beef was pretty tough and bland. My other friends were not wowed by their dishes either and it was a shame to spend $25+ on a dissatisfying meal. 

Food: 2.5
Value: 2
Service: 2.5

Overall: 2",618,920,de5AmDy0IKZTq98ZZG_FBg,"Jacksonville, FL",https://www.yelp.com/user_details?userid=de5AmDy0IKZTq98ZZG_FBg,https://s3-media0.fl.yelpcdn.com/photo/2SU-KbMn3Vve-0wO0K0O0A/180s.jpg,https://www.yelp.com/biz/c-and-o-restaurant-charlottesville?hrid=
Benjamin T.,4/3/14 18:03,1,0,0,1,5,"Been a few times and always happy with the experience. Whichever room you're sitting in is always a good time--though for a younger crowd recommend the lower room with the bar as there is a little more relaxed feel. 

In my most recent visit we started off with a special--the lobster risotto which was to die for and followed up by getting the strip. Kind of like there old Cuban steak which was a staple but it tastes like the same marinade and was delicious all the same. Homemade desserts left us almost in a food coma. 

Good wine list but it's fun to do cocktails--try some freshly squeezed greyhounds ""goose hounds"" or screwdrivers--delicious, very easy to drink which always makes dinner more fun.

Service friendly and knowledgable as well. Would definitely recommend.",11,2,AF0YhDoo_wpiAmWx0OrYIA,"Charlottesville, VA",https://www.yelp.com/user_details?userid=AF0YhDoo_wpiAmWx0OrYIA,https://s3-media0.fl.yelpcdn.com/photo/nR9NF9Ad3jVH3UHf828zsg/180s.jpg,https://www.yelp.com/biz/c-and-o-restaurant-charlottesville?hrid=
Agnes L.,10/15/14 18:25,0,0,0,0,5,"Now that my husband (fellow Yelper Michal F.) and I have lived in Cville for a year, we know what our fav spots are: We came back to C&O for another special occasion - my birthday dinner. 

The setting is perfect for a date night as the ambiance is quiet, cozy and dimly lit. Plus, they tried to leave a few empty tables around us and other couples for privacy. Side note: Definitely call in advance for reservations, as they get booked and we had to take an earlier dinner.

We again ordered Beef Carpaccio as an appetizer, and it was just as I remembered it from the year before: High-quality meat with fresh arugula, salty parm and a crunchy hashed potato.

For our entrees: I got Bass with crab, while Michal got the Ribeye Steak with mushrooms and potatoes. Both were hearty, generous, filling and flavorful dishes. The fish was incredibly fork tender, yet had a crisp sear on the outside - cooked to perfection. The steak was cooked as Michal asked, medium rare, with his fav veggie that reminds him of his childhood in the woods of his grandfather's farm. We happily traded plates mid-meal to complete our own ""Surf and Turf.""

Dessert - Enjoyed a divine Marscapone Cheesecake. It was tiny but rich. I appreciated how there was no crust and just ""filling."" The server put a little candle in the middle for me to blow out - nice touch!

Still need to return for the Late Night menu, as I'm curious how it compares.",375,285,t1VHAaKlP_DfTcZ1qeYXUA,"Charlottesville, VA",https://www.yelp.com/user_details?userid=t1VHAaKlP_DfTcZ1qeYXUA,https://s3-media0.fl.yelpcdn.com/photo/Q8FMY4aG82wFz44nwiQaew/180s.jpg,https://www.yelp.com/biz/c-and-o-restaurant-charlottesville?hrid=
Flora L.,4/16/15 23:55,0,4,4,3,2,"My friend and I came to C&O for Farm to Table Restaurant Week. As much as we were excited to try thus restaurant, we were a little disappointed by the food. The appetizer we got was rabbit dish. The mushroom was very fresh and highlighted the taste of the fettuccine. However, as a former vegetarian for 2 years, the meat smelled and tasted too strong for me. The main dish featured chicken with asparagus. The chicken was wrapped in ham - not a good combination. Also the white sauce killed the freshness of the chicken. Finally the dessert. I got raspberry frisk. Too sweet and chuncky.
I would not come back again and would not recommend to friends. But then again, keep in mind that I came here for the restaurant week.",230,325,RhumBf8pXq3nv-oaPlw6FQ,"Seattle, WA",https://www.yelp.com/user_details?userid=RhumBf8pXq3nv-oaPlw6FQ,https://s3-media0.fl.yelpcdn.com/photo/0pwo-CGKhaZeNY62F2S-Ww/180s.jpg,https://www.yelp.com/biz/c-and-o-restaurant-charlottesville?hrid=
David T.,1/25/16 20:05,2,2,2,3,4,"This is a fancy schmancy place.  High quality, high cost, great ambiance.  You take dates here to impress sort of place (in fact I'm pretty sure I was the only person here not on a date but I digress).  I was just visiting Charlottesville for work but I had been told by several friends I needed to check out C&O.  Fairly unassuming exterior, it feels like an old home thats been turned into a restaurant (which it probably has).  Fairly narrow interior, with tables upstairs and a narrow stair case near the entrance taking you down to the basement where there is the bar and some more tables.  

Service at the bar was prompt and polite.  Bartender made solid effort at conversation.  With a couple orders of red wine I got the veal appetizer and veal entree (I know, probably a tad excessive).  The dishes were prepared quite differently from each other and I thought they were good compliment with each other. The veal appetizer was amazing.  I wanted to lick the plate clean.  Just a wonderful carmelized flavor to it.  The veal was juicy and tender.  Im used to getting veal parmigian so it took me a second to realize that I hadn't gotten steak when it came out.  But it was very good.

All in all, I was impressed but this is a place you go to on special occasions.",526,111,N5EK5jSHIf91MnnYpQKQJQ,"Charlottesville, VA",https://www.yelp.com/user_details?userid=N5EK5jSHIf91MnnYpQKQJQ,https://s3-media0.fl.yelpcdn.com/photo/LSNoay4a1IffUyurhvz8nQ/180s.jpg,https://www.yelp.com/biz/c-and-o-restaurant-charlottesville?hrid=
