,,Author,Date,Cool,Funny,Useful,Rating,Message,Author Reviews,Author Friends,(view source)
1,,Cindy P.,18/08/06,,1,1,5,"Not only is this what you want in a local mexican restaurant, but it is also located in an old house, which gives it a cozy feel.  I love the pollo con chorizo.  And if you want the best bang for your buck, go for the nachos supreme.  you'll be filled and will be delicious!  Their drinks are a little pricey, but splurge on the margarita if you want to get tipsy, they're usually pretty potent.  I love the Guad for its location (right there for JPA dwellers), filling, tasty dishes, and friendly service.",25,6,view review
2,,Mindy T.,17/12/08,,,,4,"Mmmmmmm - Guady's chips and salsa are tasty! I always got their combo plates that came with beans and rice - and it was always good. Their chicken enchiladas, chicken tacos, beef tacos... it's all tasty. Sometimes a little salty (a lot of Mexican places are), but still tasty! This Guadalajara is in a small house, so it's a cozy place to meet with friends. I also came here to order chips and salsa to go a few times when having friends over. Better than anything you can get in the grocery store!",44,3,view review
3,,JiaJia T.,18/02/09,,,,2,"If you like oversized and overly greasy mexican food, this is the place for you!  If you like quantity over quality then this will be your favorite restaurant.  Tasty food doesn't need to drown in cheese and fat.",571,572,view review
4,,Kara M.,19/02/09,,,,2,"greasy and not that great, i came here once and let's just say my stomach was NOT the least bit happy about it.",538,157,view review
5,,Andrew W.,14/03/09,,,,2,"I ordered the Guadalajara Special, and it was terrible. Salty sides, soggy fried bits slathered with cheese, and I ended up being unable to eat more than a quarter of the admittedly large portion.

The chips and salsa are the only reason this place gets a 2 instead of a 1. If I could go just for that, I would.",26,6,view review
6,,Mary W.,10/12/09,,,1,1,"Walking into the restaurant, I expected to recreate a meal in a Mexican restaurant that I had earlier that week with my boyfriend in Baltimore. At first, I was pleasantly surprised by the combination meals, which conveniently paired together many entrees so that you don't have to think too hard about how many tacos you want or whether you'll want to get an enchilada with it as well.

Well, when my dad & I finally got our food, I think I almost made a sad face. I knew that the combo meals would have smaller enchiladas & burritos, but at Guadalajara, the quality of the food was comprised as well. It was soggy, somewhat on the bland side and overall a huge disappointment.

The only thing good about the meal was the salsa & chips. And that's sad.",189,107,view review
7,,M B.,17/03/10,,,,5,"I love guad.  Try the a la carte soft chicken tacos, then smother them with the hot sauce on the table.  You won't be disappointed.  Also excellent frozen margs.",42,,view review
8,,Anthony Y.,24/07/10,1,,,2,"carnitas- pork was really dry and everything was greasy.. flavor was okay but have definitely have had better Mexican food

The Guadalajara down 29 (on Greenbriar Rd) is a lot better!",7,172,view review
9,,Jennifer M.,08/05/11,2,,2,4,"I came in here seriously doubting the place. It's actually not as small as it looks and the food is not as bad as I expected! After all the horror stories I've heard/read about soggy and salty food, I was seriously impressed.

First basket of chips+salsa is free. Additional baskets are $1. Makes me question why....  nothing special going on here.

I had the Fajitas de Carnitas. Most popular dish out of everyone's (8). I drool when I think of those flavorful, pull-apart chunks of carnitas that come out sizzling hot and tasty. Possibly the best carnitas I've ever had (certainly better than Chipotle! hahaha). Still not so sure about the rest of the overly large menu though...

Half priced jumbo margaritas all day on Sundays and Tuesdays! Available frozen or regular. So delicious. (I downed two of these myself)",497,459,view review
10,,Stanley S.,09/06/11,,,2,3,"They're skimpy on the price, but not on the chips. However, like most cheap Mexican restaurants, you get what you pay for which is high quantity and mediocre quality. 

I prefer to order off their a la carte menu and usually stick to their bean & cheese enchiladas. They are also pretty cool about doing a bit of dish customization up request like changing the sauce.",105,133,view review
