Author,Date,Cool,Funny,Useful,Rating,Message,Author Reviews,Author Friends,Author ID,Location,Profile URL,Profile Photo,URL,
Lauren M.,2/2/10 0:29,1,0,0,4,3,"This used to be my ""spot"" while at UVA undergrad (til 2005). They're open late - the place is always jumping (*note: they don't accept reservations and at peak hours expect to wait up to an hour), and the food was amazing. It seems as though the quality has declined over the last few years. 

*The patatas bravas are still good, the tortilla española has been too oily, cheese plates have been significantly downsized (but still tasty), and the seafood from time to time is over-sauced. 

If you aren't a tapas fanatic, you may still enjoy the restaurant because, even with the few 'not so perfect', most of the dishes are prepared and served wonderfully. 

The prices are pretty steep, but it's Charlottesville - what else could you expect? If you want cheap tapas,  go to DC. If you want great tapas, go to Spain. In the mean time, shoot on over to Main St. and try Si Tapas...then make your comparison ;)",165,27,IvQfIAGig4n8SxtztkCyaw,"Henrico, VA",https://www.yelp.com/user_details?userid=IvQfIAGig4n8SxtztkCyaw,https://s3-media0.fl.yelpcdn.com/photo/N5-1Hy32jFDMpTaNpHl6ag/180s.jpg,https://www.yelp.com/biz/mas-tapas-charlottesville?hrid=
christopher r.,1/21/11 15:13,2,0,0,2,3,"Good for a drink and a conversation. No mas.

Wait time was over an hour on a Tuesday night, while being only third on the wait list (for 2). The food was edible, but no dish was outstanding.

Many diners staked out their tables for what seemed all night in a pleasant social atmosphere. 

The no-reservations system evidently has its loop holes, as people continually passed us throughout the night for a large party.

Their spanish wine list looked worth exploring more. Sangria was good.

Bacon-wrapped dates - unimpressed.
scallops - just ok.
empanada and salad - fine.",126,29,3t6fHJFiXO5hTqAIfNRIsg,"Denver, CO",https://www.yelp.com/user_details?userid=3t6fHJFiXO5hTqAIfNRIsg,https://s3-media0.fl.yelpcdn.com/photo/MNnGCUrjercMBIR4-tUZXA/180s.jpg,https://www.yelp.com/biz/mas-tapas-charlottesville?hrid=
LanChi N.,10/12/12 5:53,0,1,1,1,4,"Came here for my friends belated birthday Dinner. It's a actually a very chill and calm atmosphere nothing to loud or crazy. The seating is a bit limited but they also have patio seating But it was cold so we chose to sit inside. We ordered  a few tapas and 1 large pitcher of Sangria (they only have red) which has about 6-8 cups. It is a bit stronger then sangria that i've had but it's really good. The tapas  we tried were:

Datil con tocino -fat, juicy, pitted Medjool dates roasted inside of applewood-smoked bacon-really good mix of sweet and salty

Jamon y queso -18 mos. aged Jamon Serrano and Manchego Cheese- good but it needed a crunchy element

Empanada-roasted local , organic pumpkin from Radical Roots,chevre,sage in a flaky pastry w/ crema, honey- the chevre overpowered the pumpkin a bit

Judion-local,pastured  Mangalisa pork belly w/ buttery white beans from Leon,local organic chard,mirepox,tomatoes and herbes  -pork belly was melt in your mouth and the white beans were firm but had a soft center. I think I  could have eaten a whole bowl of them.

Pato confitado-raditional Catalan dish of buttery duck confit w/ fresh figs, concord grapes., garlic,Amontillo, sweet butter

-figs were so fresh tasting 

wAtun-#1 Grade Yellowfin tuna grilled very rare only served w/smoked tomato alioli,grey sea salt- smoked tomato alioli was amazingly good.Tuna was a bit too over done but I'm used to eating raw tuna.

Chorizo -eponymous pork,garlic and pimenton sausage lightly grilled w/hearth-baked bread-chorizo had a nice snap to it.

Tortilla Espanola
the classic  Spainish tapa of yukon gold potatoes,sweet onions,local farm eggs,extra virgin olive oil, gray sea salt.- Dish was good but the potatos and onions lacked a bit of flavor the gray sea salt on top helped but w/o the salt the dish was a bit plain.


Our fave tapas were the Dates wrapped in bacon, the wAtun  yellowfin tuna w/ the smoked tomato alioli and the Judion mangalisa pork belly with buttery white beans.

All the dishes were really good and you could taste the freshness in the local ingredients.  Although the tapas are a bit pricey you have to remember that  your paying for quality of the food and experience .I am  for sure coming back the next time I'm in Charlottesville to see what other dishes they offer.",482,288,3AVQuOO4hQwDsJYMCcTwHA,"Fairfax, VA",https://www.yelp.com/user_details?userid=3AVQuOO4hQwDsJYMCcTwHA,https://s3-media0.fl.yelpcdn.com/photo/pZNN8Z0-ctFfSfNiBXSesw/180s.jpg,https://www.yelp.com/biz/mas-tapas-charlottesville?hrid=
Joy G.,11/17/12 7:46,2,5,5,4,4,"First things first: I don't like tapas. Call me crazy but small portions (or the shudder-inducing ""nibbles"" or ""small plates""), jacked-up prices, and a whole dinner built around communal sharing with an overriding aftertaste of hunger are not my idea of a good time. I'm quite surprised that the whole restaurant scene built around tapas has lasted as long as it has, because my philosophy is, I've found this awesome dish. I've ordered it. And now that I know how good it is, the sight of your fork coming closer and closer to the food in front of me is enough to bring a rush of red to my head. 

Anyway, I'm giving Mas a pass on my general resentment of Tapas, because I had heard for quite some time about how good the food was and I can fully back that up. Mas also features tons of locally sourced ingredients, from AMFog mushrooms to beef from Free Union Grass Farm and Silky Cow, which is nice in that you can taste how fresh everything is but bad in that if you don't get here early enough, the kitchen runs out of the more popular dishes, like the bacon-wrapped dates. The menu also has quite the complicated symbol and key system, with things like FUN, WILD-CAUGHT, and BALANCED PAIRING. 

My table first ordered a small pitcher of sangria to share, and it was the perfect acidic balance of fruit and wine. I will say that I could have easily gone without my one glass of sangria if it meant that the $20 could have gone towards two extra dishes, but the birthday girl requested some booze. But you want to hear about the food! These were the dishes that came recommended by both Yelpers, friends, and waitress. 

Datil con Tocino: aforementioned bacon-wrapped dates. Comes 4 in one bowl. It's kind of impossible how something so simple can taste so delicious, but this was one of the dishes that I wish we could order extra of. 

Ensalada de espinaca: baby spinach with pine nuts, raisins, and mango vinaigrette. Palette-cleanser and provided some greens. 

Papas con crema: like a potato lasagna stuffed with Manchego cheese. Wait a bit for the cheese to crystallize on the bottom and you get nice crispy dark brown bits. 

Roasted artichoke hearts and goat cheese: wished for more hearth-baked bread. 

Chorizo: pork + garlic + pimenton sausage. I'd be okay with eating this, cheese, bread, and wine for the rest of my life. My stomach probably wouldn't. 

Empanada: pastry turnover stuffed with pumpkin, ginger, sage, with some cheese-like creme on the side. More savory than sweet. 

Fat Gulf shrimp grilled in their shells: my eyes popped out of my head as soon as I spotted a waiter carrying these babies to a nearby table. So succulent. It was like everything else in the world had disappeared and all that remained was the shrimp and I. 

Albondigas: beef and pork meatballs. Wanted more shrimp. 

We also ordered the hugely disappointing goat cheese cheesecake: the goat cheese managed to overpower any hints of sweetness or sugar. The little dollops of raspberry syrup on the side did not help. 

Tip: come as early as possible. My group of 7 came here at around 5:30 on a Friday and snagged the last big table in the back. Fifteen minutes in, a line had already started forming for tables, though there were still a few empty seats in front of the bar.

Would like to come back soon to have a Racion of that shrimp all for myself.",1423,1603,BAXqpS21alyoX4-Z5611Hg,"Newton, MA",https://www.yelp.com/user_details?userid=BAXqpS21alyoX4-Z5611Hg,https://s3-media0.fl.yelpcdn.com/photo/y3yNwWVeWfGTpdfCNwVTmA/180s.jpg,https://www.yelp.com/biz/mas-tapas-charlottesville?hrid=
Han V.,11/29/12 19:35,0,0,0,2,3,"The menu changes often so I suggest talking with your waiter and ask for descriptions and suggestions. I love the open kitchen and watching the chef prepare all the dishes. The food comes out quickly so props to the chefs but the service can be extremely slow because it can really crowded. From my experiences, your waiter can really great or really bad. They really need to make their service more consistent. 

Many of the items are just wonderful on the menu and I really like how they stay conscious on using seasonal and local items. My favorites include the yukon gold potatoes with aloi, bacon wrapped dates, artichoke goat cheese dip, shrimp with aoli and sea salt, beef tartar, and raw tuna salad. The plates can range from $4-$20 for the ""tapas"" or regular size and they offer the double sized portion for each dish. I suggest staying towards the lower end because I feel like the more expensive items are not worth it and are not as easy to share. 

Some items may also be a miss so be careful--again, I recommend talking to your waiter and telling them your preferences! For example, I tried their chirizo once and they were like a charred bricks. The Serrano ham dish with the manchego cheese is also not worth it because it's just really thin slices of cured meat with even thinner slices of cheese. Their hummus was also not very special. 

Tip: They do not take reservations so it's best to go during off times or weekdays. The wait can be 1-2 hours .

Tip: Instead of ordering the bread alone which is already $4, order the cheese dips because they include their house bread for just a few bucks more. 


Food: 4
Value: 3
Service: 2.5

Overall: 3",618,920,de5AmDy0IKZTq98ZZG_FBg,"Jacksonville, FL",https://www.yelp.com/user_details?userid=de5AmDy0IKZTq98ZZG_FBg,https://s3-media0.fl.yelpcdn.com/photo/2SU-KbMn3Vve-0wO0K0O0A/180s.jpg,https://www.yelp.com/biz/mas-tapas-charlottesville?hrid=
Naomi K.,3/15/13 18:30,0,0,0,0,4,"LOVE this place. Who knew that Charlottesville have a food cult?! What a great find. This was a perfect spot for dinner. It was a tricky finding the entrance on the patio but it was urban chic inside. The downstairs was super breezy near the door, so bring a coat! The setting was dark and modern. The bathrooms discretely overlooked the seating area, covered in wooden paneling. 
Food wise was a gastronome's delight! Of course the obligatory spanish olives, plethora of distinct cheeses and a larger selection of either wine or beer. Though I didn't find the papas bravas (roasted potatoes  w/alioli) that impressive, the jamon, empanadas and ensaladas were que delicioso! 
Save room for dessert, which was just as enticing. A smooth scoop of chocolate mousse artfully presented with sweet market fresh strawberries and a dollop of cream fraiche and coarse sea salt was perfection.",2071,486,wZG2xlICfUkJiY1NdPJH2A,"Raleigh, NC",https://www.yelp.com/user_details?userid=wZG2xlICfUkJiY1NdPJH2A,https://s3-media0.fl.yelpcdn.com/photo/y0jBkXl8pdKss6KFkaCraw/180s.jpg,https://www.yelp.com/biz/mas-tapas-charlottesville?hrid=
Esther G.,9/12/13 3:28,0,0,0,0,5,"This tapas place is definitely worth every star. Friendly waitress, intimate/classy yet fun setting (including a huge patio), fantastic food, killer sangrias, awesome company ... what else could you really want in a night? (Although I can't guarantee you the great company when you visit. Thankfully I came with great friends).

The restaurant uses ingredients from about a dozen or more local companies, which is an added bonus. Lots of organic and fresh vegetables and free-range chicken. Just looking at the menu and the vast array of choices can be overwhelming, but I feel like a lot of thought has put into not only the types of ingredients used but the way they're cooked/paired together to prepare each dish.

We ordered plenty of food for the three of us to share and feast on, but the one I keep remembering is the bacon-wrapped dates. I didn't even know I liked dates! Fat, juicy and pitted, roasted inside of applewood-smoked bacon. 

Another great dish: the smoked tomatoes that were resting in their own tomatoey juices.

Also had dessert: the dark, bittersweet flourless chocolate cake with berry coulis. It tastes exactly as it sounds!",499,241,1q9jZcsY4jG5ZjjgGIvvqA,"New York, NY",https://www.yelp.com/user_details?userid=1q9jZcsY4jG5ZjjgGIvvqA,https://s3-media0.fl.yelpcdn.com/photo/ppTujCi7UP5yutiO2Xc9aQ/180s.jpg,https://www.yelp.com/biz/mas-tapas-charlottesville?hrid=
Don C.,10/14/13 23:18,0,0,0,2,1,"We were excited to come to Mas for a great family dinner based on recommendations from friends and Yelp. Overall the tapas were pretty good with one big exception.  We ordered two orders of Carne Asada for our table and were a little surprised at how rare it was served. Believe me, I like my steak rare for the most part, but this was really, really rare.  Actually, it looked dangerously rare in my opinion. 

When our waitress came by we asked if we could please get the meat cooked a little more as we were concerned about how raw it looked. Much to our surprise we were told the chef will not cook it anymore because it is suppose to be served very rare.  Hunh?  Is the chef eating with us?!?  Is the chef paying for it?!?  I've never heard this before. 

Anyway, the servers were pleasant but the chef sounds like a real ass. His food certainly isn't nearly as good as he thinks it is!  Good riddance and good luck!",9,19,r-sAMN-1KK8G20Ioyof9MA,"Herndon, VA",https://www.yelp.com/user_details?userid=r-sAMN-1KK8G20Ioyof9MA,https://s3-media0.fl.yelpcdn.com/photo/zXK-DIWoLZkyXPkKqvKRRw/180s.jpg,https://www.yelp.com/biz/mas-tapas-charlottesville?hrid=
Neelam P.,3/23/14 22:29,0,0,0,4,2,"My husband and I were debating between going to Mas or Parallel 38...wish we picked the latter.

Service was a bit horrible and our waitress disappeared throughout the night.  

The olives at the beginning were delicious. 

There are vegetarian options on the menu, but nothing really stood out.  

Moutabel - the description sounded better than it tasted!!  The beets just tasted like beet mush served with bread.  We couldn't taste the tahini or red peppers.  After a few bites the beets just become overwhelming.  

Queso cocido con alcachofa - goat cheese and artichokes.  This was ok, but the goat cheese was very heavy.  

Roasted veggies with bread - the bread was the best part (buttery and crunchy). The veggies were ok, nothing special and a bit bland.

Halibut - I liked this dish a lot and thought the fish was cooked very well.  

They ran out of the Babaghanouz the night we went.   I guess the menu changes often because the menu I saw online wasn't the same one we received.  The online menu looked much better and had so many vegetarian options!",1104,155,4ENBFSuIT-8vfRHZysQHag,"Chatham, NJ",https://www.yelp.com/user_details?userid=4ENBFSuIT-8vfRHZysQHag,https://s3-media0.fl.yelpcdn.com/photo/geH46148ietz8yfydiHXOQ/180s.jpg,https://www.yelp.com/biz/mas-tapas-charlottesville?hrid=
Lumiere S.,5/20/14 4:11,2,4,4,6,5,"I try to be a mindful reviewer when I yelp, and do check out a review or two of popular places before posting my own. That being said, I do acknowledge that one poster said for those who are foodies and have eaten elsewhere, this place is not that great. I would have to respectfully disagree - I have eaten in quite a few different U.S. cities (LA, Chicago, NYC, DC, Philly, etc.), as well as abroad, and still really enjoy Mas! 

I will say that the wait is pretty bad, but if you manage to entertain yourself for the +1 hour wait - I would say it's worth it. Why? Well, each dish is it's own little theatrical show. I felt the flavors were purposely chosen and paired and the items were prepared carefully and well. My personal favorite would be the lamb shank,  bacon wrapped dates (I know, I know, everyone said it already but it's for a reason!), as well as the papas bravas (not the sexiest dish, but I love the herbs used on the potatoes and the serving size is gracious).

Bottom line - this place has a nice exposed brick and wood charm that is akin to a lot of local owned places in NY and the atmosphere, although dim, feels upbeat and social. The last time I was here was with a group of 5. It was the ideal size for sharing dishes and still getting enough that we each felt full. I thought our service was decent, but can completely understand the complaints. :/

In closing - I say try it out if you're curious - it can't hurt, and you'll find that you enjoyed a piece of Charlottesville in the process. May the fork be with you.",205,853,oJlnV8VcmvBhhU92K4a3aA,"Charlottesville, VA",https://www.yelp.com/user_details?userid=oJlnV8VcmvBhhU92K4a3aA,https://s3-media0.fl.yelpcdn.com/photo/hqklS0bl28Whleo-bv6pVQ/180s.jpg,https://www.yelp.com/biz/mas-tapas-charlottesville?hrid=
