,,Author,Date,Cool,Funny,Useful,Rating,Message,Author Reviews,Author Friends,(view source)
1,,Kimi S.,06/05/15,7,5,10,4,"Maybe it was the twinkling lights or the exposed brick walls or perhaps the garage door windows but I felt a welcoming warmth rush over me as soon as I walked in.

The menu was explained as small plates but most definitely NOT tapas because they were served as they came out from the kitchen and not all at once. This concept was definitely lost on me since I'm pretty sure that is exactly what tapas is...but I digress....

Everything on the menu looked absolutely fantastic so whittling down our choices was quite hard. We decided to go with (almost) ALL of the things!

Roasted beets with ricotta cheese - Nature has never tasted this good before
Roasted brussel sprouts - I'm a huge fan of brussel sprouts but I thought this was okay. The sprouts should have been roasted a bit longer to caramelize and get tender and this strongly tasted of fish sauce without any other flavor.
Scallop Crudo - A generous portion of the most tender, sweet scallops I have ever tasted. It took every bit of will in my body not to snatch all of these at once.
Grilled octopus open faced sando - The garbanzo puree on the toast was simple and delicious. I'm definitely going to be incorporating this into my sandwiches at home. That being said, the octupus was overcooked and rubbery and tasted like char. 
S'mores Bread Pudding - The most inventive bread pudding I've ever seen. I loved how all the slices tasted like brownie ends and the bruleed marshmallow was just perfection.",2041,5000,view review
2,,Shelly N.,25/02/16,,1,2,4,"Service: 5.0/5.0
Food: 3.5/5.0
Overall Experiene: 4.0/5.0

TL;DR: order the shaved salad, wood fired oysters, sweet sticky pork belly and pork shank. Could get better food else where for the price but the atmosphere and customer service made this place worthwhile. Not sure I would ever come back here though.

For those beer & wine lovers: there's an extensive menu and seasonal specials. 

We ordered the following:

Shaved salad: It always seems a little silly to me to go out and order a salad, but you can't go wrong with this salad! There's so much flavor to this salad and the combination of items was brilliant. There was a lot of dressing on the salad and I absolutely hate salad dressing but everything for this dish worked. Highly recommend this item!

Wood fired oysters: Definitely do not like oysters because of the taste and texture. But Oakhart made this work in every single way! The flavor was light and not very ""oyster"" like and there was a brilliant crunch from the crumb. This order comes with four oysters, so make sure you order according to your party size. 

Oyster Mushrooms: Mehhh. There wasn't anything particularly special about the flavor of this item for me.

Provoletta: If I did my visit over, I would definitely pass on this item. The bread for the make your own ""pizza"" is a bit too wood fired cooked for me. In addition, the bread had a lot of holes when it was baked, so there wasn't a lot of a bread filling. The provolone and goat cheese combination wasn't my favorite. 

Chicken wangz: Would not really recommend this item. The cream sauce was the same one served with the shaved salad but it did not go well with the wings to me.

Sweet & Sticky pork belly: Solid order but this wasn't the best pork belly I've ever had or something that really stands out to me. Definitely a good amount of flavor and would recommend but is not something special.

Chili lime roast shrimp pizza: My friends and I agree that this pizza tastes like any regular pizza but the difference for Oakhart social is how well the pizza was cooked. You can taste the smokiness of the pizza and the crust was fluffy yet soft. The texture and consistency were good but the flavors of the pizza was just whatever. 

Pork Shank Special: The pork fell off nicely and was cooked super well. It was delicious but I was kind of confused with the pairing of items. The pork shank was served on a pile of some sort of grains that I can't recall what it was?  There was also a yogurt cilantro to pair with the pork and I wished they stopped there. The combination of the Indian taste like grains and American meat was odd but would have been yummier without the grains. Still a solid order though!

Overall: The rustic atmosphere of brick wall, dimly lit light and excellent service made dinner very pleasant! Unfortunately, I'm not sure Oakhart Social is a place I would come to again but it was definitely a fun experience. My biggest beef with this place is probably the pairing of items - the combination just didn't work for me. There's an outside eating area that would be nice for when the weather is warmer.",56,348,view review
3,,Onvara A.,10/02/17,,,,4,"My friend and I came here for dinner and ordered the Brussels Sprouts (with Korean chilli, aioli, and crispy shallots) and the Marinated Mushrooms & Black Kale Pizza (with garlic potato cream and parmesan). 

The pizza was one of the best I've ever had! The garlic potato cream was an amazing touch. The brussels sprouts were a little disappointing though, as they were very salty. I've seen other great reviews for the brussels sprouts so I think it was just an off-night for them, but I'd recommend ordering the aioli on the side just in case. The crispy shallots on top almost made up for the saltiness though.

Service was good and they have a private parking lot right next to it! That was a major plus for me, especially since it's so hard to find street parking in the West Main area.

Also, the menu they have on their website is not completely accurate. There were a few dishes that didn't appear on the menu in the actual restaurant, but there were still plenty of delicious options.",619,41,view review
4,,Sean P.,05/03/17,,,1,5,"Dang, I like this place. 

Built out of an old three stall auto shop, this restaurant/bar doesn't try to hide it's history. I believe the original renovation was completed by a restaurant that failed. Oakhart took over and while I'm not sure on what they changed, the end results are great. The two stalls on the left still have their garage doors, but replaced with French doors connecting their dining patio. The patio makes the best of its space and stretches across all three stalls. It is lit with overhead hung oversized bulb lighting, which gives it a nice ambiance. The bar takes the space of the stall on the far right. About ten seats at the L shaped bar.

I've sat at the bar every time I've been here and it has suited me just fine. They do encourage drinking here, so if that's on your list, you'll fit right in. They have quite a large wine selection. I just tried to ignore that page of the menu!

The brussel sprouts were an awesome appetizer. I also enjoyed the crispy lamb shank tremendously. It was served on a bed of sunflower hummus, which I had to cut back on trying to stretch it with my lamb. I also tried other dishes and was not disappointed.",162,51,view review
5,,Steacy L.,01/10/17,,,,4,"Incredibly good food. Try the sweet/sour eggplant- that was a standout. The smoked oysters were delicious but a very small option. 
If you're looking for a drink, order whatever's in the slushee machine.",60,7,view review
6,,Ashley V.,03/10/17,1,1,3,3,"I came here on a weeknight after a long day of classes and was ready to feast. I heard so many good things about this establishment and have driven by several times telling myself that I needed to try the place out. The place looks so promising with their cute decor and natural lighting, but it just didn't deliver to the hype. 

I tried the mushroom grits, octopus oyster mushroom pizza, and the margherita pizza. The mushroom grits were...interesting. The grits were actually quite tasty and creamy; however the mushroom was kind of weird. It was larger, tart, and had a bitter char on it. I wasn't the biggest fan. It came with garbanzo beans that were yummy, but the whole dish had this interesting Indian flavor. For 13 dollars tho, I really don't think it was worth it. Our server recommended the octopus mushroom pizza and since it sounded different we decided to go for it. The pizza had  a good thin crust, but it was actually quite burnt so there was a slight bitter taste in each bite. Ironically, it got soggy quickly even though it was burnt. Thank god for the margherita pizza. It honestly saved the meal. It was actually so delicious and was a decent size. The basil on it was so fresh and everything was perfect. 

The biggest disappointment about this place was how everything was served ONE AT A TIME. I get it but man they really could not work with us because we were starving. They waited for us to finish each plate before presenting us with the next one. The problem was we didn't intend on sharing our plates like a tapas style meal so it was pretty annoying. I really don't think I would come back...idk maybe for drinks. Overall, I wouldn't give this place more than 3 stars just because it was pricey, the food wasn't that great, and the portions were wayyy too small.",196,433,view review
7,,James T.,09/11/17,3,,3,5,This place is great! Came here with the family and they had something for everyone. Would definitely recommend a cocktail with their crazy ice balls! The outdoor patio is great as well.,97,120,view review
8,,Angel H.,15/02/18,1,,2,5,"Came here yesterday for Valentine's Day dinner and had a fantastic time! Service was impeccable and the food quality was great. Just as a side note, reservations required a $50 deposit for Valentine's Day. 

First off, I loved the interior design and ambiance. The lighting is warm and cozy and the tables are well arranged to maximize numbers yet provide enough intimacy. The bar is not big but there's a little ""socializing area"" between the dining area and the bar where people gather and chat. I thought that was a cute design! The restaurant does get a little loud so sometimes it can get hard to hold a conversation. 

For the meal, they started us off with complimentary champagne- a nice surprise for the night. The plates are meant to be shared so they serve the dishes as soon as they come out. My boyfriend and I got the shaved salad, the hanger steak, and the ribs. 

The shaved salad was beyond amazing. I don't even know all the different vegetables and fruits they put in there, but the combination was magical. The crumbs on the top combined with the sauce give the salad such a nice crunch as well as a rich, tangy taste. Most highly recommend! 

My next favorite dish was the onion ring and ribs. The BBQ sauce and aioli sauce were so delicious! The ribs were well smoked and very meaty. The portion size was also quite large, definitely enough for two. 

The hanger steak was good, too, but did not quite match up to my expectations. It was definitely too well done and too tough for a ""medium,"" and it took a long time before we got it. The potatoes that accompanied the dish were fabulous though- crispy and well-seasoned! 

Oakhart Social is a wonderful restaurant that serves high quality, unique dishes. It is pricey, but you get what you pay for.",510,454,view review
9,,Alice M.,16/03/18,,,1,4,"This place is very good! The best way to do it is to go with a group and share so you can sample lots of different dishes. My favorite items thus far have been the shaved salad, ricotta toast, squash tortellini, and bread pudding. I am generally anti-salad so the fact that the shaved salad made it into my top dishes list shows just how good it is. 

A lot of people love the brussels sprouts here too but both times I've had them they were a bit undercooked. The catfish was prepared well but wasn't ""Nashville Hot"" as advertised. 

Overall, the quality of food here is quite high. The main reason I don't want to give 5 stars is because their cocktail menu is lacking-- it's all gins and whiskeys. I don't know why it is so hard to find good tequila cocktails in Cville! They also make you put in a credit card if you are reserving a table online, which is kind of a bummer. Still would definitely recommend checking Oakhart out for your next date night or small group dinner.",170,231,view review
10,,M. Spencer H.,15/04/18,,,,5,"We had an impeccable server. We arrived shortly before the kitchen was closing so they made sure to prioritize ordering food and were helpful in recommending selections. I recommend the tortellini, that sauce is divine. Their bramble cocktail is officially my new favorite cocktail in Charlottesville. It is light, sweet (but not overly so) and refreshing! I can't wait to come back and try more of the menu.",211,26,view review
