,,Author,Date,Cool,Funny,Useful,Rating,Message,Author Reviews,Author Friends,(view source)
1,,Douglas K.,11/03/19,4,,3,5,"The best seafood I have ever had in Charlottesville. Few places get a perfect score in my book, but this place surely deserves it!

When I came here tonight, I realized that the location for the restaurant is close by to many places I visit regularly: downtown mall and central campus. However, despite having been to DOMA several times, I missed this store before deciding to come tonight. Fortunately, I decided to change things up today.

Public Fish & Oyster from the outside and inside looks like a homey, modern seafood bar. And its menu reflects this aesthetic: it has a small, but well composed menu of delectable seafood dishes. Tonight, I honestly had a hard time choosing what to eat from the many great selections on the menu. Luckily, I had some Yelp help: I went with some Clark Island oysters from the Raw Bar and the wine risotto. My friend ordered the grilled char. 

Both of us were extremely impressed with our personal dishes. My risotto was a beautiful wine stained color, and the wine gave a great tang to the dish that conplemented the mellow flavor of the mushrroms. My friend's char was perfectly cooked and seasoned excellently. 

The oysters were also super fresh!

A 5 out of 5 if there were any.",211,311,view review
2,,Cristina W.,06/10/19,1,,1,5,"One of my favorite spots in C'Ville!  Make sure you make a reservation because space is limited and it is a popular spot - and for good reason!

This place is a seafood restaurant and has fresh raw oysters available on the daily.  The chalkboard showcases the varietals and prices - they go from least to most briny top to bottom.  For us, we opt for the brinier the better!  Other menu features include the calamari appetizer, the clam chowder, and the moules frites!  Calamari app is enough to share and comes with some nice veggies.  The calamari is not excessively breaded so you can REALLY taste the squid.  The clam chowder is tasty and creamy and hits the spot, especially on cold days.  The moules frites is enough to share for sure!  The fra diavola is a nice veggie option with tomatoes and spice.  The chorizo sauce has a nice kick to it as well.  My favorite though is the thai-inspired broth with coconut milk!   

Most recently, we split the steampot and it was equally impressive.  For $36 you get a pot with steamed mussels, clams, shrimp and crab legs!  There are also potatoes and corn chunks in there as well.  Now, as much as I enjoyed this dish - i would still order the moules frites over this next time.  The variety was nice, but the flavor was less so - makes sense because it is steamed seafood gofigure :)

Dessert wise, we tried the key lime pie and the blackberry slump - which was described perfectly as a cobbler and a muffin combo.  The crust is definitely bready like a muffin!  The ice cream on top really complements the dessert.

Overall, we love coming here. The vibe is lively and can get a little loud, but it's still homey and unassuming.  The service is very attentive and super friendly.  Come check them out - you won't regret it!",313,245,view review
3,,Becca M.,07/10/20,2,,4,5,"Wow! This spot is fantastic! Despite being small it's full of life and character. The space as I mentioned is petite but there is a patio outside as well. Their is limited seating so I recommend a reservation. The space has a beautiful bar on one side and an exposed brick wall on the other. Despite a small space it still feels like you have privacy and you don't hear more than a light murmur in the background. People were dressed semi casual with some people in dark jeans and a blouse or button up. Some people were dressed in dresses but everyone looked put together but suits are not required.

The bartender recommended a cocktail for me which was light and refreshing and they were to die for. We of course got oysters (clearly an unsaid requirement) as well as their heirloom tomato appetizer. Any time you see a restaurant with heirloom tomatoes as an appetizer you know they are going to be fresh and worth-while. And nothing disappointed! Their oyster list is expansive and they all tasted fresh. I went with someone who is a very big fan of oysters and he instantly saw two types he knew he loved and wanted. Based off what he ordered our waiter made some recommendations. Which were quite a hit. 

What brought me to the restaurant was the happy hour special ... the lobster roll! They have both Maine and Connecticut style. There is no wrong way to order a lobster roll but I got Connecticut style. It was fantastic. The meat was tender and the roll was perfectly buttery and soft. My partner's meal was equally as delicious. We both agreed this was some of the best seafood we've had here in Charlottesville.

As a big ice cream fan we had to order the house made ice cream which was creamy and flavorful. We split a key lime pie which was so delicious we might have to go back just to ensure we can have another slice! It was tart and sweet wrapped up in each little bite. The graham cracker crust was buttery and really rounded it out.

Overall an excellent meal! A great spot to have a girls lunch or meal as well as an intimate date spot. The food and service were impeccable. We got great recommendations and definitely see ourselves going back. Definitely a great spot that I will definitely bring visitors to!",41,17,view review
4,,Kirsten A.,31/10/20,1,,4,5,"Can't get over how great last night's dinner was!! This is one of the best restaurants I have seen for COVID precautions. We are outside, where there were plenty of heaters and so even though it was cold we were nice and toasty. You are required to wear a mask anytime you interact with wait staff so they are protected as well as you. 

We got a dozen oysters, two of 6 different types. The VA ones were $1 off during happy hour and they were delish!! Then we also got the lobster roll, Connecticut style. The two of us shared it and man it was phenomenal. I thought we would also get another entree like the mussels or the shrimp risotto but after the lobster roll we split we were stuffed! Of course had room for dessert. The online menu wasn't entirely accurate (I had my eye on the chocolate mousse but they didn't have it) but the pumpkin pie ice cream was excellent. I can't wait to come back to try some other things, and so happy to have a place to get oysters in cville!",179,535,view review
5,,Lina J.,24/11/20,2,,4,5,"Took a few visits, but I think we've finally got why Public Fish & Oyster is so lauded with praise. 

My SO had never tried raw oysters before. The staff here did an awesome job explaining and recommending different oysters to try from their oyster bar. And hats off to their oyster shuckers - they make a beautiful plate and they do an awesome job at presenting a clean, ready-to-enjoy oyster. We went to another oyster bar the other day and there was a noticeable difference (couldn't even eat the oysters, it was still attached to the shell). I feel like this is one of the only places that I trust with raw oysters!

Every time we've visited, the staff have been exceptional. I think they are doing a great job at contactless dining with QR code menus and plenty of distance between tables. I've really enjoyed their outdoor dining experience as well - even on a cold November night, the heaters make things super cozy, and the ambiance is very chill (great for people watching...at a distance!) 

I still don't think Virginia can do crab cakes like Maryland (as a proud Marylander) but this place has the best Virginia crab cakes I've ever had. I actually like their sandwiches more than their entrees (save for the Tohoku moules frites). Their fries are divine as is the accompanying garlic aioli! 

We're definitely fans of this establishment and will definitely be back.",272,206,view review
6,,Shelley R.,31/12/20,1,,2,5,"The food and service are both great here!! I came here with a group so we tried a few different things-The calamari is terrific-as are the fried oysters!! The New England clam chowder is amazing!! The Brussels sprouts appetizer was terrific-I will definitely get that again!! The crab cake entree was perfect! Nicely browned and full of tender crab-yummm!! We also were lucky enough to get the lobster roll!! These can not be beat!! They sell out of these,so go early if you want the pleasure of having one!!

Our sever Dan was top-notch!! He explained everything and suggested a bottle of wine that we all loved!! So much that we ordered a second bottle!!  He also told us that all the desserts were made at the restaurant! We followed his suggestion and shared a few desserts-the key lime pie, and the pumpkin ice cream. They were both outstanding!!",469,44,view review
7,,Perry B.,16/03/21,,,2,5,"As usual, a great seafood experience. We had a lovely outdoor celebration socially distanced from others. It got chilly and they provided blankets in addition to the heat lamps. Recommend trying the oysters, we typically go for medium brine. Yucatán Mussels are also phenomenal. My friends also enjoyed the crab cakes. If you have a seafood craving this is definitely the right spot.",150,22,view review
8,,Tyler S.,28/04/21,,,,5,"Absolutely delicious. Make a reservation online to get sure seating. A really vibrant environment, with a chalk board of oyster options with tasting notes and locations. 

Really solid cocktail and wine selections. The Steampot was a beast... and so delicious. We also had the Mahi special-- the fish and the grits were outstanding. 

Lastly, we had the key lime pie for dessert, and it was so tasty.

Such a fantastic meal and experience all around.",100,5,view review
9,,Shontina K.,09/07/21,1,,1,5,"Make a reservation or bar options are available.  Very quaint restaurant with a southern vibe.

The Service is impeccable!! From the time I walked through the door everyone greets you with a smile. 

Alana was my waitress and suggested the crab cakes.  They were delicious!!!! Alana was amazing!  Her customer service skills were unmatched.  

The key lime pie has to be flown in from Key West!!! Best I have tasted in years! 

Kudos to the owners for having great food and an awesome team that understands the importance of customer experiences.

I will definitely be back when I return to Charlottesville for work.",219,465,view review
10,,Joe G.,09/07/21,,,,5,"Passing thru on a college visit.... Seriously the best place to shell fish. Great service, food is 5 star! Hats off to John the bartender for making us feel like locals. 

Oysters and Mussels are amazing! Highly Recommended!",117,,view review
