Author,Date,Cool,Funny,Useful,Rating,Message,Author Reviews,Author Friends
Rose C.,17/07/22,,,,5,"Delicious Aegean cuisine on West Main Street!
Interesting menu with perfect ingredients.....great ambiance and cordial staff.",12,
Chris B.,08/08/22,,,1,5,"Exceptional. Everything was absolutely delicious, and the service was so nice. The octopus perfectly charred, the lamb meatballs were incredible. And while you can get hummus all over the place, theirs is next level. Incredible Aegean food.",55,34
Nicko A.,18/08/22,,,1,5,"Great Mediterranean food , everything was  super tasty. The skewers  were the highlight as well as the dips. Friendliest service you can get. 
Definitely coming back",64,1
Bohdana S.,20/08/22,1,,1,5,"Charlottesville needed that place. The food is just outstanding, Mediterranean cuisine in different variations. You can find here everything you are craving for. Kabobs, seafood, ribeye, pasta, different appetizers. I definitely recommend to try octopus, calamari and rib eye steak. But honestly anything you will order you would not regret about. It's been my third time here and I just love it. Definitely my spot to go right now when I want to have a good food and great ambiance. The service is always so friendly and helpful. Music and atmosphere are so charming which is making you feel so relaxed. Great cocktails as well, Smyrna Sour is my forever favorite drink. Good job guys, you are making this city better and thank you for that!",4,
Jason S.,20/08/22,1,,,5,"What a great spot just opened on the Main street in Charlottesville. Was so excited to visit since my friends recommended me it as a new hot spot. The food is great, I tried the Octopus, which probably was the best I tried in town and Tagliatelle pasta that was absolutely delicious. Service is very professional and made sure we were satisfied with everything.Nice atmosphere and decor, everyone who is working there were so friendly and made us feel so welcomed. We enjoyed talking with owner who told us a little story how the Smyrna was born. Definitely will be our to go spot, it is so nice to have this kind of local places in town where people are so warm and treating you like a family.",7,
Vickie P.,07/09/22,,,,5,"Casual with a sophisticated menu best describes this restaurant. Food is artistically presented and in just the right portions that when you leave you are pleasantly full and not stuffed. All staff were professional, friendly, attentive but not overbearing. The owner visited the tables making sure every customer was satisfied and answered any questions. Highly recommend!

For appetizers we had the charred octopus which was tender and charred perfectly.  The tomato salad had a very thinly sliced and peeled tomato topped with peeled cherry tomatoes, strawberries, cheese, thin sliced sourdough crisps and greens with a pomegranate vinaigrette. The beef skewers melted in your mouth and are made with local beef.

We were excited to see manti dumplings on the menu knowing they are time consuming to make. The perfect choice for a vegetarian meal.

The burger, from local beef, was cooked perfectly as ordered and the aioli and sumac onions were a bonus. The tasty house fries were perfectly prepared served with homemade ketchup for dipping.

For dessert we chose the panna cotta and almond frangipane both of which the flavors were perfectly balanced.

The restaurant also has an extensive selection of alcohol as well as wines from all over. There is also a specialty drink menu.

We will be back!",6,
Helen P.,20/09/22,,,,5,"Great new Cville spot!  Warm, friendly atmosphere and staff.
Had the burger - lamb & beef!  Simply fabulous.  Great fries with it, too!
Wife had the Manti dish and we both kept stealing each other's food.
The NY trained chef is a real bonus - try any of his starters or specials!
D&H",1,
Melody B.,01/10/22,,,1,5,"This place is amazing. The dining room is lovely, the service was friendly and knowledgeable, the cocktails were tasty, and the food was superb. With guidance from the server, our party of three started with the meze trio of charred eggplant, goat cheese dip, and hummus with grilled bread. Next up was the fried calamari,  lightly breaded and perfectly fried, and charred octopus. For our main dishes, we all three shared the lamb skewers, dumplings, and the (according to my husband) the best burger he has ever had. Very highly recommended. We will be back often!",25,2
Lina J.,06/10/22,,1,3,5,"The best steak we've had in Cville. Every dining experience here has been a delight. The first time we came we got a bunch of appetizers (including their renowned grilled octopus) and tried their different kebabs. Everything was delish! 

Most recently we ordered the rib-eye for 2. We were warned before that it takes the longest of any item on the menu to cook so expect a decent wait time (I think it was 40ish minutes) but it was WELL worth it. The steak was beautifully cooked. The sides complimented it perfectly. Our waiter showed us the steak before it was sliced for us - it just felt really nice to see how proud the restaurant was of their food and have it translate so well into an excellent tasting meal! The staff has always been incredible and welcoming every time we've visited. 

We also love their house made sparkling water. Such a Euro vibe lol! There is an extra fee to it (I think $2?) but it's added just a bit more sparkle to the dining experience. I also LOVE their stoneware, glasses, and cutlery. It's just a wonderful place to have a meal all around. It's definitely somewhere I'd bring my parents to in addition to being a great date night spot. We will definitely be back!",272,206
James N.,09/10/22,,,,5,"A great new addition to the Charlottesville dining scene! The service was some of the best we've ever had - Mark our waiter was very knowledgeable on all their dishes and wines and helped us pick out what was best.

Our favorites were the lamb skewers, the Manti Dumplings, and the Charred Octopus. All were fantastic. I'd pass on the fried paella though.",21,1
Finley O.,03/11/22,,,,5,"Smyrna has a warm, pleasant atmosphere and serves classic Turkish dishes that have been elevated in flavor and quality. The mezze trio was a fantastic start; each was delicious and the house bread is addictive. The calamari ticked all the boxes. The fisherman's gülaç was a great protein to split along with the manti dumplings. The chef excels at creating a wide variety of delicate, satisfying savory flavors. Will definitely go again and order more off the beaten path!",8,116
Alison W.,06/11/22,,,2,5,"Absolutely delicious! I only wish I could have enjoyed it dining in instead of takeout. The charred eggplant dip was particularly yummy of the three meze options, and all the kebabs and manti were so good. Smyrna would be great spot for a date night or nicer meal out because it's definitely a little more expensive than your usual Mediterranean option.",174,251
Caleigh E.,13/11/22,1,,,5,"Best restaurant in Charlottesville! From the service to the ambiance to the food, it can't be beat. The Mezze Trio is perfect for sharing among 2-4 and then a couple skewers and apps can even make a meal. Haven't tried an entree yet but looking forward to next time.",1,125
Jaimee T.,19/11/22,,,,5,"Amazing spot in Charlottesville, totally worthy of date night. Food was a delightful surprise, each dish better than the next. Highlights were the mezze trio, calamari and the lamb meatballs. Great cocktails and service. Excited to have another option for a nice dinner out!",26,1
Shirley K.,26/11/22,1,1,1,5,"Such a great experience! My husband and I are out-of-towners who were visiting relatives for Thanksgiving.  We stopped by for dinner on the Friday after. We absolutely loved this place. Delightful setting -- such a chill, hip, and relaxed atmosphere. Very simple yet highly tasteful decorations from the lights to the flatware. Our sever was truly wonderful; he was charming, kind, and highly attentive. 

We got the Octopus, the Meze Trio, and the chicken and lamb skewers. I cannot emphasize how fresh the ingredients tasted and how flavorful everything was. The meats were grilled to perfection. 

They also have a full bar with a creative cocktail selections and solid wine and beer choices. It looks like a great date night spot! But also a great place to dine with family and friends.",35,1
Ziv H.,02/12/22,,,1,4,"A newish Turkish restaurant in C'ville, to add to the higher end of the dollar spectrum; on it, Otto's and Sultan Kebab.

It is narrow menu, inhabiting the past Bella's/Mangione, dramatically redone but reserving its
special tin(?) ceiling.

The meze trio, a shared starter was most notable for its properly charred eggplant; it takes a proper flame to get that flavor, a broiler will not do.   Excellent bread, described to us as made onsite. Quite so.

Manti dumplings, special, but not quite as much so as suggested...?

The fish dish 'guvec' , was a fennel based filet atop shrimp.  The fish properly prepared, just so, and the shrimp good. Perhaps to mimic a fresh caught fish you'd be served at a waterside restaurant on the Bosphorus. 

A curious baklava cheescake 'stack', unique.

I will admit that I am definitely more partial to the giant cooked meat Turkish spreads you may have to travel abroad to eat ( and dream of thereafter ), or the infinite dishes at Develi, the kunefe at Sultan Kebab, an excellent adana, or a cold doganay salgam to drink... 

Smyrna is different from those, turkish, i suppose, but in a more translated version in the view of the chef, perhaps for charlottesville.  Try it to see how it fits for you.",230,12
M K.,08/01/23,1,,,5,"One of the best meals I've had in cville in a while. Incredible food and cocktails, cozy ambiance, and overall creativity. Not knowing tons about it, I was so pleasantly surprised. Truly delish. The dumplings, meze trio, and season of the witch cocktail were standouts.",82,2
Dave M.,09/01/23,,,,2,"Insane how expensive the food is...I had an $18 burger that was cooked medium, too charred...and the mushroom dumplings kinda felt like they were from Trader Joe's... good cocktails though",7,5
Jennifer A.,15/01/23,,,,5,"If you're looking for a date night spot- this is it. We had the grandparents in town to babysit, so my husband and I wanted to go somewhere that we wouldn't typically take kids. This was a great find!

We sat at the bar because we hadn't made reservations (bar seating is first come, first served but you can order from the full menu). They were clearly busy but no one seemed rushed or flustered.  Everyone who helped us from the host, to the bartender, to the people delivering the food was both friendly and knowledgeable. Definitely some of the better service we've had recently.

For drinks my husband had the Smyrna lager and I had the Negroni. Admittedly it was the first time Ive ever tried one, but it was delicious.

For starters we got the Mezeh trio, an order of the bread (which came with dipping oil) and the raki balik. I'm not usually a fan of eggplant but all 3 parts of the trio were fantastic. The Raki balik was also on point! My husband who does not usually like raw fish even thought it was good- which is saying a lot.

For our mains my husband had the burger and I had the manti dumplings, both of which were also amazing!  We've only lived in Charlottesville for about a year, but I'd say this is the best food we've had here so far. 
We'll definitely be back, and recommend to others!",4,
Lolita G.,23/01/23,,,,5,"Impeccable service, outstanding food. What more do you need to know. The seafood! The lamb! The bread! Everything we have ordered has been out of the world.",23,15
Allison M.,27/01/23,4,,4,5,"What a delightful addition to the Charlottesville food scene!! This would be a wonderful spot for a date night or just a refreshing change of pace from your typical night out. 

I came here with a small group which meant we got to try a bunch of different things. We started with the Meze trio- hummus, charred eggplant, goat cheese yogurt, as well as the house bread salca. All three dips were excellent along with the perfectly toasted bread. We also shared the octopus, Manti dumplings, and Fisherman's guvec. It seemed apparent there was careful attention to detail in all three dishes. The fish of the guvec was a table favorite. Lastly, we finished with a slice of Baklava cheesecake with marscapone cheese. This was my personal favorite. I don't need to say more because it was as delicious as it sounds. I never want to eat baklava or tiramisu on its own again after that. 

We loved our server- he was friendly and helpful without being overbearing or pushy. He was very patient and offered reasonable suggestions. 

Check this place out! Plus they have a great restaurant week menu coming up.",400,498
Graham G.,28/01/23,,,,5,Incredible food and drinks. Some of the best I've had in Charlottesville. Service was impeccable too. A little pricey but well worth it. Will be back for the next special occasion,18,359
Ryan K.,29/01/23,1,,1,5,"Tasty Turkish food. Smyrna has taken over a space that had been previously occupied by two other restaurants which went out of business. Smyrna is easily the best of the three. One wall features beautiful exposed brick and the bar which dominates the room. The lighting is dim, the music is played at a volume such that yhe vocals are indistinct, and there is the constant buzz of comfortable conversation. We split the Raki balik, charred octopus, yogurt-goat cheese dip, and Manti dumplings. The yogurt dip was delicious and the waitstaff offered to bring us more bread to attempt to finish it. The Raki balik had a unique flavor combination, but it worked well. The octopus was perfectly cooked and served with a delectable sauce. The dumplings were not what I expected, but it was a tasty dish nonetheless. Overall, I had a pleasant experience at Smyrna and would recommend them.",674,21
Katie L.,06/02/23,,,1,5,"Went to Smyrna for restaurant week and it was so good! The kabocha squash soup was fantastic, the stuffed squid was delicious and OMG the baklava cheesecake is probably the best dessert I've ever had, and I usually hate cheesecake! Our server Cory was so nice and attentive! Wonderful service and atmosphere!

Highly recommend this restaurant, especially if you are just passing through Charlottesville because you are unlikely to find such a unique and delicious Turkish restaurant elsewhere!",4,6
Hannah S.,19/02/23,,,,5,"Had a great experience at Smyrna. We sat at the bar because we did not have a reservation, and loved getting to chat with the bartender throughout the evening. Food was all insanely good - we started with the mezze trio and the grilled octopus, then shared the market salad, the lamb kebabs, and the manti dumplings. All so simple yet unique and flavorful. Cocktails were amazing too! Can't wait to be back - definitely in the top 3 meals we've had in Charlottesville.",4,
Christina B.,21/02/23,,,1,5,"Excellent food, Super service. Very pricey. Food was extremely creative and high quality. Cocktails were amazing - even a straight up Single Malt Scotch.",22,2
Angela G.,17/03/23,,,,5,"Phenomenal food attentive service. Everything was excellent. Bread and spread trios, calamari, salad, manti, dessert",8,
Sarah M.,19/03/23,,,,5,"Amazing!!!! We have been twice and each time, the food was phenomenal, and the vibes are perfect for date night.

Service was good!! Very attentive, kind waiter. Food took a bit long to come out, but worth it given how excellent each dish was! We ordered the mezze trio platter, the beet salad, the chicken skewers, the manti dumplings, and the chocolate hazelnut tart. 10/10.

Also the cocktails (and mocktails) are delish!! I always get the Smyrna sour which has pomegranate molasses and egg white. It's the perfect balance of tart and sweet, and so refreshing!",29,571
Justin N.,24/03/23,,,,5,"So so good! Super cute inside. Great casual yet sophisticated ambiance. On the pricy side but you get what you pay for quality-wise! The cocktails were so good-- some of my favorites in Charlottesville. The Turkish Coffee Martini is the best take on an espresso martini I've ever had. The Smyrna Sour was also delicious and had a nice foam, and both drinks were very pretty. The Meze trio was yummy. The charred octopus was also good. The Manti Dumplings were terrific too! The Pistachio Baklava Cheesecake was the cherry on top of a great dinner and drinks with friends.",372,109
Hannah H.,25/03/23,,,,5,Every dish was absolutely delicious. We ate something from each part of the menu and there wasn't a single thing we didn't enjoy. Thoughtful food and service. We can't wait to go back again soon.,5,
Melissa B.,09/05/23,1,,1,5,"Our waitress was amazing! She was knowledgeable about the menu and very helpful. We got the fried calamari which was delicious and perfectly cooked. You must get the meze trio so so good. I got the chicken skewers, the chicken was juicy and seasoned to perfection. I added the brussel sprouts which they also were cooked perfectly. You also HAVE to get the manti dumplings they are so so good. You just have to go. We had a group so we could all try everything which was a great idea!",308,118
Lori D.,12/05/23,1,1,1,5,"We decided to try Smyrna while in town for a long weekend, and we couldn't have been more pleased with the whole experience. We were greeted promptly by the friendly staff, we loved the atmosphere with the exposed brick walls, beautiful bar, and the minimal yet perfect decor. The server was very knowledgeable about the menus and very helpful with guiding us as we made our selections. The bartender was more like a cocktail crafter, as it seemed like he wasn't simply mixing drinks, but crafting a work of art - Very impressive and the drinks were not light on the alcohol. The food was absolutely delicious. I highly recommend a reservation, especially on the weekends. I hope to dine here again if I'm in the area.",86,13
Nicole D.,24/05/23,,,,5,"We went there on graduation weekend for the first time.  I could not be more sad that we did not discover this place sooner.  

The food was fabulous.  We the a spin on a gazpacho that was absolutely fabulous.  I had the chicken dish which qas one of the best chicken  I have had in a long time.  My son had the bucatini which was terrific. 

Lastly the desserts were just amazing.  I had the pana cotta which was to die for.  So delicious.  If I ever return to Charlottesville, we will be back here!",16,
