Date,Rating,Message,Author Reviews,Restaurant
2007-09-09,1.0,"There's a mad rush in cville to cash in on the upscale restaurant trend, and this restaurant seems to have rushed a little too quickly.  The food was really good, and really pricey, but the service was HORRIBLE.  First, you don't give a new waitress an 8 person table outside when the restaurant is 25 yards away and upstairs.  Second, the waitress forgot 4 different food orders, and would have forgotten more if we hadn't reminder her.  Third, she was slow as a snail getting all of our drinks and coming back to check-in on us.  Finally, they include 20% gratuity for parties larger that 6.  We had no way to give her any feedback because she automatically got an extremely generous tip from us.  

I went and spoke with the manager about the situation, more as constructive feedback than as ""I'm so angry and want free dessert"", and she seemed to appreciate it.  As I sat down after talking to her, the waitress came up to our table and said ""I'm sorry you've had such an unpleasant evening"".  Instantly, everyone felt bad that she was so upset, but at the same time, that is so awkward for her to say anything at all.  She looked like she was crying too...

So to make matters worse, the manager was tactless enough to reprimand the waitress while we were still seated.",469.0,Ten Sushi
2008-06-07,1.0,"My singular worst dining experience I have ever had. The atmosphere is sophisticated & modern, the fish is extremely great quality but the overshadowing problem is the service is abysmal.

Dining on a holiday weekend the two of us were perfectly comfortable dining at the sushi bar. Unfortunately your seats are below the height of the workspace so you can't actually watch the chef work.  Our waiter was unhelpful in making suggestions and only made vague pretentious statements to my date to ""dive into the menu"".  The snobby attitude continued to the runners who dropped plates off at the shortest point to walk than putting the dish front of us. I realize the kitchen was busy but 2 of my items arrived before the edamame my date ordered. When I asked when my date's selections were coming out the waiter dismissed my question. The second time we expressed our surprise at how long it took for edamame to arrive the waiter realized he had not put in the order. The third time we asked and our waiter told a runner the runner looked straight at my date and rolled her eyes.

For $62, we ordered a salad, 2 small sticks of garlic meat, 2 small sticks of chicken citrus, a very good toro, and they still billed us for the edamame that never arrived. When we called the waiter over to show him he didn't even know it had never arrived. I left the free chocolate dessert in disgust.",62.0,Ten Sushi
2008-10-20,5.0,"I just love this place way too much to not give it a full 5 stars.  I got to go back this past weekend and service was much better.  I was sad to see they had changed their Specials menu and I was without my Lucky 7 roll.  Everything else was just as delicious as I had expected though.  

Thanks Ten!",107.0,Ten Sushi
2008-10-11,4.0,"I've only ever been here for drinks, so stay away from me if you need an honest critique of the food.  However, the bartender told me they were lowering a lot of their menu prices in lieu of recent turmoil, so it is just the time to check out a place you know you've been curious about.
As far as lounging and drinking , this is a great spot on the downtown mall.  
The decor is pretty unique and original, and not just in a ""this is a town with only 50k people what do you expect"" sort of way, but in a ""hey, I'd even hang out here in midtown"" sort of way.
Delicious array of sakis, some of which are served in traditional cedar boxes are a nice touch, as are the comfortable couches next to ridiculously large windows overlooking the action on the downtown mall.",283.0,Ten Sushi
2009-11-11,2.0,"Disappointment with a capital 'D'.

Now, I'm not normally a 2-star rater, but this is definitely all Ten is worth.  This place came highly recommended, so I expected to be blown away, but instead was completely turned off.

The service was so bad I am embarassed and ashamed for them.

We were celebrating a very special milestone birthday for a close friend, and when I told the waiter he just looked at me blankly and said, 'Oh' (as in 'Oh, big deal').  There was no comp'd drink or free dessert or anything.  Our bill came to a whopping $271.08 and not even one measly free edamame pod??

Another problem we had with our waiter is that we complained about the stupidly expensive wild sashimi platter (Omakase) we had which HE had recommended - it was so below average and we were very unimpressed.  We asked him several times to relay our message to his management and/or the sushi chef.  His response was, ""My roommate is the sushi chef, I'll tell him later"".  I should have told him we'd pay him ""later"", then.  If there's ever a place I wanted to do a dine-n-dash, this was it.

I should mention that the calamari appetizer was delicious, and the crab sushi roll was fairly tasty.  Everything else was meh.

Get your act together, Ten.  Hip decor does not fool me.  This place is sub-par and not just for us West Coast sushi snobs.",76.0,Ten Sushi
2010-01-10,1.0,"I'll carry on the trend, but yes, Ten is overpriced.  $15 for a spicy tuna roll is absurd, but I pay absurd prices when it is justified by extreme deliciousness, fabulous service, and outstanding atmosphere.  None of those three elements were met, and thus, there is absolutely no reason to check out Ten.  

We arrived at 6:15 on a Tuesday evening.  The restaurant was almost empty.  There were 2 tables set to accommodate larger groups (6+) but the remaining 7 booths in the front of the space were empty.  We were sat at a small table that is awkwardly set between booths and in front of the waiters' computer and when I asked whether we could sit in one of the many empty booths we were told no, that they were planning on being too busy.  This was upsetting enough, but I thought that maybe there was something I was unaware of.  Nope.  By the time we left maybe 75 minutes later the restaurant was just as empty as when we arrived.  I should have just walked out when we were told No.  Alas, we didn't.

Besides the maitre d, the server was friendly enough.  No real complaints there.  And the food was fine.  Not even close to worth the price.  Even a simple cucumber roll is $5 (a tool by which I often measure the priceiness of sushi restaurants.  Even my favorite hoity toity DC sushi place only has $4 cucumber rolls).

Anyway, the maitre d's attitude put a sour taste in my mouth and none of the food was delicious enough to remove it.  I'd look for a different sushi joint if I were you.",60.0,Ten Sushi
2011-01-23,2.0,"This place would make a great date night, it has a cute hipster vibe, it's dimly lit, techno playing a little too loudly in the background, and the prices show you care.

We must have gone on an off night though, because the sushi we had was not fresh. Overall, the taste was good, but the tuna had a faint fishy taste, which means that it was getting close to the point of no return.  

This was upsetting, because of how expensive everything is on the menu. We ordered the honey chicken appetizer, and for $6, we got two small pieces of chicken on half skewers. Really? The annoying part was that our waiter didn't seem to think we had ordered enough/spent enough money.  He only checked on us twice during the dinner, and the second time was when we were done eating and if we would be ordering something else (after he recommended that we should probably get another plate of food), when we told him we were done, he walked away looking very irritated and promptly brought us our check. I guess $50 for two people just wasn't enough for him.",242.0,Ten Sushi
2011-02-21,2.0,"You're paying too much for ambiance here---- the food was way overpriced and not THAT good.  the wagyu tenderloin was tasty, but everything else we ordered (skewers, salad, etc) were just ok.  our waiter seemed to be more interested in being good looking and charming than being knowledgeable and/or attentive.
bottom line:  go somewhere else!",35.0,Ten Sushi
2012-03-06,4.0,"Ten is underrated on Yelp. The food is fresh, and the staff is really helpful. The menu is big, with lots of options for people who like sushi, and those who don't. The staff accommodated our large group, and our waiter was so helpful for my pregnant sister, who loves sushi, but can't eat anything raw right now. They were also helpful in finding an appropriate meal for a two year old, who ended up loving his rice and fish. My personal favorite was the avocado tempura, but everyone loved their dinners. 

This restaurant could do well in any metropolitan area. The only criticism I have is that the decor is a little outdated. The restaurant is a bit dark (the whole room feels grey/blue), and it feels less friendly than it should. With a little update, the restaurant would be charming, as well as so tasty!",13.0,Ten Sushi
2013-02-21,1.0,"I was going to give Ten a 2-Star rating, because for as bad as my experience was, the food was marginal, but I couldn't do it.

That being said, the interior looked nice and anything good I have to say about Ten will stop there. 

Ten can jack up their prices because they have the best fish in Charlottesville. Sadly, that isn't saying a whole lot. I've paid $10+ for the standard 2 piece nigiri selections once in my life somewhere in Beverly Hills, and for as good as it was, it still hurts to pay that much. But $10 for two pieces of salmon? In Charlottesville? If the fish was monstrous I might not have been as annoyed, but it was your average sized piece of sushi.

It was my fault that I didn't look more carefully at the online menu disclaimer stating that the price was per piece and not for a two piece serving, so when I got there with my parents to treat them to dinner, I was caught off guard and couldn't work up the nerve to get up and find someplace else to eat after we'd already been seated and looked at the menus. I probably should have.

For me, the decent quality of the food merited at least three stars. The pricing dropped it down to two. The staff nuked it into a one.

I was coming back from the bathroom after I had washed my hands before the meal and two of the servers were standing in the doorway that leads into the kitchen area in the hallway with their backs to me. This is what I hear:

""You can have the Asian table""
""F**k that, and get no tips? It's your turn anyway.""

The guy that tried to hand us off was midsentence responding when they saw me walk by.

Bill came out to over $200 for just nigiri with no alcohol, I left zero tip for that idiot. My dad and I each ate a burger at Five Guys because we were still hungry.

Never going again.",59.0,Ten Sushi
