,,Author,Date,Cool,Funny,Useful,Rating,Message,Author Reviews,Author Friends,(view source)
1,,Karen M.,29/08/08,,,,5,"Love this restaurant.  The menu changes in little ways each day so check out what they have to offer on their website and find a day that sounds especially good to you.  If you notice something that repeats often with minor changes - it's probably delicious, if it's something new on the menu that you don't see on the rotation - it could be hit or miss but it'll probably be a hit.  

The parmesan or herb crusted lamb are always great choices for the rib eye and the cheesecake I had from there was amazing.  

No reservations but if you get there a little early on a weekday, you shouldn't have too many problems.  Also, although the menu looks intimidating and fancy, it really is a casual restaurant.",13,,view review
2,,Dominic L.,26/03/09,,1,2,5,"A daily menu with lots of choices!  Food was great!  One of the best restaurants around.  The second 5 star I have ever given to restaurants around Cville..Would definitely come back and visit again...

Came here after snowboarding at wintergreen... was a little bit under dress.... most people are dressed casual...but the atmosphere and food would ask for more...

They dont take reservations... so be prepared to wait during peak hours... but its definitely worth the drive and wait...",38,1,view review
3,,Tosh K.,05/06/09,,,,5,"Fabulous!  I love this place - fantastic food with beautiful presentation.  We had the mussels and fried oysters to start followed by the soft shell crab and flank steak.  The mussels were the best part and are some of the best I've had.  

The wine list is pretty extensive and has a nice selection as well.

The best part is its location and interior.  For the price one would expect a much more formal setting, but the restaurant is quite casual and makes for much more relaxing experience.",228,3,view review
4,,Scott S.,11/08/09,2,,1,5,"This was a hard decision between 4 and 5 stars. It wasn't perfect... but if I'm honest, for the area... this actually is perfect.  

First, the food was dead on.  From the bread, to the salad, to the steak, it was all flavored beautifully and expertly from a true professional... not someone who wanted to make mass-produced comfort food, but someone who wanted to make delicious, complex yet accessible food.  Who can't get on board with that?

The atmosphere was a bit more dingy than i was led to believe from previous reviews.  It looks and feels almost like a diner that spent a few hundred bucks trying to make it look nice within an evening.  Like trying to set up for a dinner party in a rundown shack with only a few hours to prepare.  Reminds me of an episode of I Love Lucy or something.  It works here though, it keeps a casual, comfortable, yet open atmosphere that prepares you for a high-class, freshly prepared meal.  Perfect for Charlottesville.

The drink list is extensive, and the wine list is as well.  The desserts are ok, but nothing too exciting.  

The service is outstanding by the way.  A knock on the place is that while it isn't 'expensive,' it is a bit more than you'd find anywhere else in this area.  Still going to be pricey, but just to summarize the argument, its 100% worth it.

Its a great place, and much much more than you could realistically expect out of such a place.  This place is somewhere you can go to several times a week, or just once and always be satisfied and content.  Its a great place to be.  If you're out in this area, don't bother going anywhere else.",87,13,view review
5,,Mike C.,02/09/09,1,1,3,5,"With Duner's, it's all about the food.  This venerable Ivy restaurant does not boast an elegant dining room.  The casual wait staff does not fawn over or pamper its guests.  And the kitchen abstains from over-the-top trendy creative culinary endeavors.  Instead, Duner's focuses - and delivers - on sourcing outstanding ingredients and skillfully preparing confident, delicious fine dining dishes.  

Open nightly for dinner from 5 'til 10, Duner's consists of a main dining room featuring booths along two walls and four-top tables in the middle.  There's a smaller dining room to the right.  The décor and place settings are somewhat plain and Spartan but its comfortable nonetheless.  

The menu is created daily based upon the kitchen's ingredients and whims of the chef.  It typically consists of nearly a dozen choices of both appetizers ($8 to $9) and entrees ($19 to $26).  Vegetarian and pasta dishes are always offered as well as sandwiches ($11).  

The challenge is choosing among the wonderfully tempting and deliciously composed dishes.  On a recent experience, we struggled mightily to select our meal.  From the appetizers, we narrowed it down to a short-list of choices that included house-made gnocchi, grilled scallops, steamed mussels and tempura soft shell crab.  We decided on the grilled scallops which were served with a basil and lime cream sauce.  

The scallops were expertly prepared: sweet and plump, well seasoned and perfectly cooked to an ideal consistency.  Sadly, too many kitchens destroy this delicate ingredient through overcooking or allowing the just-cooked scallops to sit too long on the plate before being served, resulting in something that's at-best dry or at-worst rubbery.  The dish was served with a sublime sauce whose richness and slight hint of citrus nicely complimented the caramelized, salty outer surface of the scallop.  

The same dilemma faced us for our entrée selections.  In the running were crabcakes, soft shell crabs, snapper and beef tenderloin.  Our waitress offered that the chef excelled at fish, so that helped to slightly narrow it down for us.  My dining companion chose the snapper which was flash-fried whole and beautifully presented surrounded by pepper sambal (or relish).  We tend to grill fish whole, so taking the flesh off the bone was not disconcerting at all.  The fish tasted very fresh and the simplicity of the preparation allowed the ingredient to stand alone.  The relish, was arranged along the circumference of the plate in alternating palettes of red and yellow - a beautiful visual rendering of summer colors.  

I chose the soft shell crabs which were - hands down - the best soft shells I've ever had.  First and foremost, they were incredibly fresh, lacking that ""fishy"" taste one often experiences with soft shells.  That's because it's difficult to get really fresh ones: it requires timing and precision from waterman to processor, distributor and chef.  To be sure, the little devils must be eaten within two days of crawling out of its hard shell.  Duner's sourced these crabs brilliantly.  Not only were the crabs fresh but they were also prepared beautifully.  Expertly flash-fried, still-crisp and, mercifully, not the least bit oily.  The only other place in Charlottesville that has mastered frying at this level of sophistication is Bang! (at least the last time we dined there).  The crabs were served perched upon a warm ""salad"" consisting of potatoes, corn and avocado which was ""dressed"" with a creamy herb and bacon sauce.  The dish had the dichotomic distinction of being both delicate and decadent.  Truly outstanding.        

Duner's offers a nice selection of beer, wine and booze.  A rose, offered by the glass, paired well with our selections and its light hue looked lovely in the glass.  We completed the meal with espresso which was strong but thankfully lacked the obnoxious bitterness of some shots.

Duner's does not accept reservations, so pick the day and time you visit carefully.  Or, stop in, add your name to the list and order a drink at the bar, or wait outside and make friends with others seeking a table.  Dress is casual - you'll see everything from suits and dresses to jeans, shorts golf shirts and sundresses.   

At Duner's the food does the talking.  Bravo!  One of our best meals of the year!",59,5,view review
6,,Graham C.,28/09/09,,,,4,"Very tasty meal. Went intent on getting seafood and they had a fairly wide variety available.

Started out with the butternut squash soup, which was very thick (which is good) and more filling than it appears. Plus, on the cold and rainy day we went, it was very warming. It's topped with crème fraîche and sage which gave it a richer, deeper flavor.

For appetizers we had the mussels and also the scallops. The scallops were cooked perfectly and the ancho & mushroom sauce was spicy without being overwhelming. The mussels, I don't know how you review mussels, except that they didn't give me food poisoning. I try not to look at them too much when I eat them, but I enjoyed the taste.

For the main meal we split the entree of crab cakes, which were awesome. It was like they just took a handful of crab meat, battered it up and fried it. No filler. The mashed potatoes and cole slaw on the side were both nicely done.

And our waitress, in splitting the meal, nicely gave us both full portions of the sides along with our individual crab cake. I thought that was pretty cool, and they didn't charge extra for it.

The potatoes were creamy, no lumps. The cole slaw was finely shredded and not creamy. Just a nice vinegary pepper taste.

Also on the side they give you a scoop of tartar sauce nearly the same size as the crab cake. I don't know who eats that much tartar sauce, but the little bit I had was a-ok.

The salad I could have either done without or had earlier in the meal, but it honestly had no real impact on my enjoyment.

For service, our waitress was very attentive, glasses were refilled often enough without it being intrusive and fresh bread (which was actually fresh baked) was brought without asking and refilled when low.

Overall a very enjoyable experience, which yes is kind of pricey, but I've also spent double that elsewhere for pretty near the same level of quality.",10,,view review
7,,Adam H.,13/10/09,1,,1,4,"Duner's is an interesting place.  It's like going to a big family gathering where everyone pulls out the card tables and gets served an amazing meal.  It's no frills- the atmosphere is white tablecloth but cheap wooden chairs.  You can pony up to the bar on $10 wooden stools.  But the food makes it all worth while.  It's a great menu that includes several fish dishes (grouper, flounder, salmon), pork, duck, lamb and a handful of steak options.  There was also some pasta and a vegetarian dish. All are fairly classic in approach- nothing wacky.  I had the lamb - it was seasoned very nicely and cooked to order.  It was a lot of food- I received 7 ribs in a red wine reduction over a roasted red pepper crepe.  Very nice.  My wife had a beef tenderloin with bleu cheese.  It was rich and decadent.

The reasons for 4 stars and not 5 were really the ambiance and the dessert.  Desserts were a bit lacking.  But overall its probably one of the better meals in the area and I'd go back again.  My tab with one appetizer, 2 glasses of wine, 2 entrees and 2 desserts was about $100 even.  So pretty good value too.

So put it on your list if you're in the area.  And yes, be sure to enjoy the painting behind the bar.",31,15,view review
8,,Beth M.,04/12/10,,,,5,"Hand's down our favorite restaurant in Charlottesville. For around $60 you can have an excellent meal (complete with appetizer, salad, entrees and beverage) which is a great deal considering the superb quality and imagination of the dishes here. Go early though because there will be a wait!",207,28,view review
9,,Deanne R.,01/06/11,1,,4,2,"Everyone's favorite restaurant in Charlottesville is not mine. It is a definite 2, not a 3.

I ordered flank steak and when it was delivered to the table it was luke warm, at best. Anyone who knows me knows I like my hot food HOT - who wants cold beef? The waitress took the plate away and ten minutes later served me a ""new"" dish, which consisted of the same meat, reheated. Not only was I disturbed by this, but the meat was now way overcooked. The flavor was decent, but the chewy factor ruined the dish for me.

What Duner's does do well is their homemade ranch dressing and brussel sprouts - I was impressed with those items. I had heard the bread was amazing, but, truth be told, it was a muted version of some type of Pillsbury dough.

We decided to order dessert - a brownie coffee-ice cream sandwich. I am not sure where they put the coffee flavoring, but where that was lacking there was a cup of chocolate syrup to try to make up for it - it was smothered.

All in I would give Duner's another chance, but my expectations would be much lower. It is likely one of Charlottesville's best restaurants, but I'm not sure that's saying much...",120,347,view review
10,,Joy G.,31/08/12,,1,2,5,"In the middle of my host's vehement discussion on the differences between regular cow and the tragic, glorious Texan longhorn, I looked up from my plate for the first time that evening. Yes I should have been paying more attention but it always feels so weird to be staring at someone whilst chewing, and so I listened with one ear open and the other senses completely fixated on my food. Much like a potbelly pig does. 

Scallops were divine. I had no idea something that came from the butt of a mollusk could taste so good. I've been watching Hell's Kitchen on repeat, and it boggles my mind how badly trained chefs can burn, over-season, under-season, and otherwise mutilate a poor little scallop. I would tell you to just come here and order two plates of the scallops and not to share with anyone, no, not even your children, because they're that delicious. The tomato/mozz plate was your typical kind of yum (with LOCAL tomatoes - so local, they were planted, plucked, and nurtured from someone's backyard). 

I got the grilled hanger steak. Nice to see that it came slightly bloody in the middle. I wish they gave me more roasted potatoes, though, because those micro-roasted tubers were awesome. I think someone asked me if they could have half of one, and I was like ... you can have the skin? I know, I am dreadful. 

Food came fast; wine and water continuously replenished. One thing that did grate a bit on my nerves was that the waitress had no idea of how to gracefully interrupt a conversation with some update on the food. We would be in the middle of something, and she would just lean her head way in and start rambling or stick her arm across someone's plate to reach the wine. Granted, the table we were seated at was a bit awkward to navigate, but she was so obtrusive! Otherwise, a magnificent dining experience.",1420,1602,view review
