Date,Rating,Message,Author Reviews,Restaurant
2023-02-19,5.0,"This place was better than the 3 Michelin-star restaurant I ate at in NYC last week (not naming names). They've only been open only 3 days and already seem to have everything on lock. We had an ""early bird special"" reservation at 5PM on a Saturday and were greeted by a lovely host and seated immediately. I'm pretty sure the Guardians of the Galaxy station was what was playing on the speakers (that alone gives extra points ;)). Our server, Zoe, was perfectly attentive and super knowledgeable about the available cuts of meats. The menu was very diverse for the entrees however the only gripe I have is that the starters were limited. We ordered the roasted oysters to start and OMG the BEST roasted oysters I've ever had. They were cooked to perfection and super tender. My husband and I shared the ribeye and ordered the Raymond Sauce and Chimichurri for side sauces. We loved both so much that we're still in the octagon to decide the winner ;). The ribeye was amazingly flavorful, and the sauces were a lovely accouterment but seriously not even needed due to the quality of the meat and the perfection of the cooking/seasoning. The steak comes with a house salad and baguette that arrives before your entree. We also ordered the creamed spinach which was another ""best"". Seriously. Not too creamy/heavy, just overall DELICIOUS. Our server was the perfect amount of checking in and making suggestions. Oh and did I mention they have a super knowledgeable sommelier and a delightful wine list. We also ordered dessert with the french press coffee. I'm not a dessert person, but the lemon pie was chef's kiss.  

All in all, we will definitely be back and can't wait to try all the other delicious sounding items on the menu.",82.0,Black Cow
2023-02-19,5.0,"I have to say, this place is a steakhouse like no other, best beef and my bone in pork chop and sauce was fabulous. We sat up at the bar and Danny & Emily took care of us at every beckon request. I do feel that this place is a diamond in the rough, it should be the place for beef, pork & chicken. Love the atmosphere, staff, cooks & owner Dan! Thank you!",113.0,Black Cow
2023-02-26,5.0,"Loved this place! They were completely booked but they squeezed us in in the lounge. Thank you! This restaurant was just what we were looking for on our short visit from CA.
Steak was awesome. Shared the Chateaubriand and my son had the ribeye (both with butter on top.) steaks came with dinner salad and sourdough bread.
Mashers were super rich and delicious. Brussels sprouts were crispy and flavorful.  Desserts- lemon pie (like a lemon square as it had shortbread crust), vanilla ice cream and chocolate mousse (if you like dark chocolate) all were awesome too.  Service was excellent.
Make a reservation in advance.",28.0,Black Cow
2023-05-03,4.0,"Food is excellent, best steak in a very long time. Service was excellent, attentive, helpful but not overbearing.  Ambiance was eating in a very loud garage, so only reason it was not a solid 5 star.",24.0,Black Cow
2023-08-03,5.0,"The food here is incredible! The service was extremely friendly and helpful. We felt right at home and very well accommodated. 

I will say, the height of the booths along the back wall is *extremely* uncomfortable and overall, fairly inaccessible if one has any sort of limitation mobility-wise. Initially we were seated there. The tables were awkwardly high for the height of the seats (which was already not great), and the edge of the table was up to my chest which made it hard to comfortably eat. However, our server was able to move us into a normal height table when he saw that all of the people in our party were struggling. Another thing to note is that the restaurant is fairly loud. This didn't bother me much, but I can imagine that if one is sensitive to that it could be bothersome. Just something to note if one is seeking a quieter dining experience. This place is full of life!

The food was AMAZING. Delicious wood fired oysters, steaks with flavor-packed compound butter and optional sauces, delightfully crispy fries, and perfectly cooked vegetables. The drinks were delightful as well. I thoroughly look forward to coming back!!",23.0,Black Cow
2023-03-19,5.0,"Wow! Mouth watering steak (excuse the spilled Bernaise sauce). Tender, perfectly cooked filet. Others at the rib end tomahawk, Berkshire pork chop, and New York strip.  No one shared because our meals were too good! For wides we did mashed potatoes, creamed spinach, and Brussels sprouts.  The creamed spinach was gone.  The Brussels sprouts were the kind you think about the next day and crave.  The potatoes were good. Extensive wine list and full bar.  Everything is a La carte though so it added up.  Entrees come with a salad but no other sides.  There's also bread service.  10/10 highly recommend if you're looking for a nice night out.  The food is delicious!!!!",165.0,Black Cow
2023-03-22,5.0,"If you plan to dine in for dinner, make sure to make a reservation! It is a beautifully designed space, perfect for a casual meal or a special occasion dinner. Delicious beef tartare and walnut old fashioned!",15.0,Black Cow
2023-03-23,5.0,The food was absolutely delicious. I had a perfectly cooked ribeye with the chimichuri sauce and the truffle mac and cheese. It was fantastic! I'd also recommend the cocktails (Smoky Dove with jalapeno salt ring! Yum!) The happy hour was a great price for all that deliciousness..,2.0,Black Cow
2023-03-29,5.0,Five represents excellent service & food! The old service station has great warm weather seating outside but it was still spring cool and we ate inside. The service was excellent and the food was great--great burgers with local beef and salad or fries. Even better steak plates ...our group had two burgers and two steak plates--outstanding local beef as good as it is going to get on this planet if one eats meat.,1.0,Black Cow
2023-08-04,4.0,"Good, but still not the best steak in town. 

Stopped in here for an early dinner. Both my fiancé and I ordered the Steak Frites from the Happy Hour Menu. I added the salad with the cherry vinaigrette to mine. The salad was really good! Not sweet, a nice flavor. They had also brought us bread and that was good as well. 

For drinks, my fiancé got the Walnut Old Fashioned. It was very sweet, which the waiter had warned us about, but we both agreed it would have made a better dessert drink than meal drink. I had a couple glasses of the Malbec which was really nice. 

The steak frites were good. The fries were excellent, and fries aren't usually something I notice, so well done! The steaks themselves were great, but not the best I've had in the Cville area (I think I'm still committed to South and Central). For the price, however, this place is amazing! Bearnaise sauce was thoroughly delicious.  

Our waiter was 10/10, and perhaps one of the best servers I've had in a long time, polite, charming, and knowledgeable. When there was a problem with my fiancés first drink (a lone bug had made a dive into it), he was able to comp it for 50% (totally fair because he had drunk half of it!!), and got my fiancé the classic old fashioned (which he ordered instead, and thought tasted better anyways). 

The ambiance was relaxed, a comfortable volume to have a private conversation, and cozy. The seating was comfortable as well. Cool to be able to see and smell the grill. I also LOVED the music (a nice mix of music from the 30s-60s). 

Overall, great vibes, great flavors and great values.",141.0,Black Cow
