Author,Date,Cool,Funny,Useful,Rating,Message,Author Reviews,Author Friends
Maddy E.,20/09/18,1,,,4,"Asado was great overall! Our server Cindy was attentive and had great advice about the menu. The hickory wings were great but you can definitely taste the hickory smoke through all the flavors. I definitely recommend going on Wednesday nights, half off bottles of wine and wings!",4,365
Sierra C.,05/10/18,,,,4,"The food is fantastic. I recommend the philly wontons! The service is pleasant as well. If you're in need of a drink, stop by and talk to Mederio, the bartender. He makes the best drinks in Charlottesville, and can customize a drink creatively, to suit your eye and taste.",7,
Angel H.,08/10/18,,,1,5,"New restaurant where Cafe Caturra used to be. Decent food, great prices, and fantastic drinks! Happy hour deals are also so worth it. $4 margaritas?! What more can one ask for? The nacho fries were so good! Perfect ratio of fries, queso, and jalapeños, plus the fries were super crispy! Highly recommend! It's a large dish, so perfect for sharing. The pulled pork quesadillas were so cheesy and so juicy. The drinks weren't super strong but they were delicious. Loved the pomegranate sangria, it was very refreshing. The wine selection is decent as well. Patio is dog friendly and the vibe is awesome. Wooden benches were artsy but could be smoothened out and polished more. I definitely felt splinters when leaning back.",510,454
Sarah-Bradley D.,08/10/18,1,,1,5,"This is one of my new favorite stops on the corner. We went on a whim and were very happy with our choice especially because the area was equip with ample TVs to watch Sunday night football. We got the dip sampler which was awesome, the chips super thick and crisp. We then each got a taco. We originally thought $5.95 was steep for a taco but when they came out we understood why. Definitely a large portion. We got the Barbacoa and honey sriracha shrimp. The shrimp was heavy on the sriracha so warning for those who can't tolerate heat. The barbacoa was great but we wish the meat came out shredded instead of in chunks. The margs were also great. Definitely recommend this spot!",409,708
Melissa R.,12/10/18,,1,1,1,Ordered via Grubhub only to be called by the restaurant and told that they are out of wings. How does a restaurant that has Wings in their name run out of their signature dish? Poor planning. Will not order from here again.,14,
Kristen P.,28/10/18,,,,5,This place is a great casual and cheap spot! The tacos are delicious and the drink deals are unbeatable in charlottesville! I hope this place sticks around because it's delicious.,17,301
Ariel B.,18/11/18,,,,4,"Pretty good first time here! 

Will preference that I don't know much about Mexican food so I can't claim any authenticity. 

BUT will say that I loved the peach margarita that I had! Flavor was great and the strength of the drink was perfect. 

I got the potato taco (I totally forgot the name) and thought it was a perfect size for one person. Flavor was good as well! The food came out pretty quickly, service was great, and I loved the atmosphere on a Friday night. 

Good overall experience. Will be back for drink deals~",365,332
Chloe K.,23/01/19,,,,3,"Quality is good but seriously, I ORDERED 4 oz guacamole and half is SEED SERIOUSLY
BUT THE rest of the food is good. Affordable",8,240
Amelie S.,25/01/19,,,,2,"Food is great but the service makes it so hard to enjoy! Beginning with the host, everyone was irritated and made mistakes. It took about 15 minutes for our server to get to us. One of our orders came out wrong and it took forever to get our check. The place was understaffed and every employee seemed stressed. The food was a solid 8/10, but I would recommend giving this place a little more time to figure out what it's doing!!",22,1
Pavina S.,13/02/19,,,,3,"I got the dos amigos which came with a choice of taco and 6 wings. For the taco I got the honey sriracha fried shrimp and the sauce for the wings was pineapple teriyaki. There wasn't as much sauce  as I would have liked on the shrimp, but at least the shrimp itself tasted good. The wings were alright too but I've had better. Overall the food was nothing special especially considering the price you pay. There are much better and cheaper options around.",225,3
