Author,Date,Cool,Funny,Useful,Rating,Message,Author Reviews,Author Friends
LanChi N.,05/12/14,1,1,1,4,"My review is strictly for drinks....

Came last night just for drinks because a friend and I just had dinner. Bang! Has such an extensive cocktail/mixed drink selection. I saw prickly pear mojito and decide why not.this of course was after careful debate and endless consulting with our bartender. She told me it was sweeter then a typical mojito...well I've had horrible mojitos if it's sweeter maybe it won't taste crappy like the other ones I've had else where. Yay! Our bartender was the bomb...she made a mojito that didn't over muddle my mint and it tasted awesome love the prickly pear :o)  my friend got her usual the sin city and I stole a sip it was a sweet martini almost juice like not bad though pretty smooth. 

Of course I wanted dessert..... so why not have a dessert martini. So I got the dreamsicle....the menu said it would take me back to my childhood. Hmmm...very vanilla...where's the orange?? They did use real orange juice so perhaps that's why the flavor was there but was overshadowed by vanilla. My friend likes it and she dislikes dreamsicles a something about artificial orange that bothers her. But since this was more vanilla she didn't mind it too much. 


Overall Bang! Is great for mixed drinks and martinis.Pricey but hey your getting a good quality drink.",482,288
Michelle W.,12/05/17,,,1,3,"In short: we left $50 poorer, a little tipsy, but still hungry.  While Bang has a lot of fun and unique flavors (and a great drink menu!) its portions are tiny and overpriced.

I came with two friends on a Thursday evening at 6:30PM.  To our surprised, we were seated immediately, but Bang is known for having long waits during peak times.  When we left around 7:30PM, there were definitely many parties that were waiting.

As tapas goes, we got 7 things to share and two drinks each.  I'll rank below the dishes we got from my favorite to lease favorite.  

Kale tortellini (4) - A ricotta, cheese, and kale mixture wrapped in a wonton wrapper. Very tasty, but didn't care much for the wonton wrapper -- tasted kind of slimy

Pork spring rolls (6) - spring rolls wrapped in a rice paper I think? and fried so the outside was crispy and bubbly.  I thought this was very unique and haven't seen anything like it before! Perfectly seasoned, which is rare for spring rolls sometimes.  Didn't care much for the sauce it came with.  

Chicken cilantro wraps - These were pretty savory and a good balance of salty and slightly sweet, with a lot of sweet onions and peppers. I think it was all white meat, but would've probably been more flavorful with dark meat.  A full wedge of iceberg lettuce came on the side, which was very fresh and crisp.  I actually liked it more than the butter lettuce that I've usually had lettuce wraps with/

Coconut rice - Slightly sticky, sweet, and creamy, and good to pair with the other dishes.  However, we got a double portion and it was SO tiny! Like smaller than a side of rice you would get from a Chinese restaurant...yet this portion was $6...

60 second steak (6) - Very meaty and smoky, but not for everyone if you don't like your meat raw/very rare. The mushrooms it came with were meaty and flavorful too and helped amp up the small portion.  The cilantro sauce it came with too was refreshing and herbacious, but very, very light and hard to taste unless you drenched the meat in the sauce.  Two very disappointing things about this dish though: the plate was cold and I would've preferred this dish served room temp or warm.  Also the portion was TINY.  We each got literally two bites fo steak and it was $11.

Brie nachos (4) - The brie had a surprisingly meaty flavor which I enjoyed, but kind of a predictable dish overall.  Unfortunately, like the steak, this dish came out cold-- by that point the previously melted brie had solidified and was not melty anymore.  I would have preferred this dish if it came out warm so that the brie was still melty.

Goat cheese dumplings (4) - I was most excited for this one and most disappointed :( These were basically like pierogis except the filling was strangely sour (not like in a tangy goat cheese kind of way).  Portion was big though.

Drinks - Everyone was most pleased with their drinks.  We tried Sin City, Lemon Drop, Lychee, Diva, Prickly Pear -- all were good options.

Service was very friendly (although kind of annoyed that our waitress kept on pushing and pushing us to buy drinks) and pretty fast too.  Overall food was fine, but I probably won't return because the portions were so small and execution was very mediocre.",219,768
Erin B.,18/05/17,,,1,4,"Wow, this place is amazing! The food is so unique and absolutely wonderful. The drink list is extensive and were so yummy! My date and I had the spicy shrimp and goat cheese stuffed dumplings and they were great! Especially the dumpling. I wanted to try everything on the menu though because it all looked so good. We also tried many different drinks. I had the key lime martini, caramel apple and the espresso martini and wow wow wow. All so amazing! My date had the Mr.Big, Sin City, and Captain and enjoyed them all as well. The only con I can think of was that they were extremely low on staff but the staff that was working were doing an amazing and attentive job. 
This may be my new favorite place in Charlottesville.",22,2
Aarti B.,26/01/18,,,2,5,"Finally, a great vegetarian tapas restaurant! I came here for my birthday   and was wowwed by the uniqueness and quality of food. I ordered 6 dishes and recommend the sweet potato gnocchi, goat cheese dumplings, shredded brussel sprouts salad, and cauliflower dumplings. I wasn't a big fan of the kale ravioli or the chickpea spring rolls. 

My favorite was hands down the sweet potato gnocchi (I'm craving it just thinking about it!) I'm not a fan of gnocchi as it's often hard or too mushy, but the gnocchi was the best I've ever had. The gnocchi was so soft that it literally melted in my mouth. I love the savory sweet potato curry sauce. 

I really enjoyed the goat cheese dumplings, they are bursting with flavor and a generous portion size. 

I devoured the shredded brussel sprouts salad. Seems like a simplex dish, but has complex flavors. 

The cauliflower dumplings were perfectly fried with a nice crispy coating. I  like how they weren't doused in sauce. 

I didn't quite care for the kale ravioli. Sounds like an interesting cool concept, but very bland. The ravioli was stuffed with a kale paste, I couldn't taste any cheese or any other flavors. 

The chickpea spring rolls was another miss. It had a nice curry filling, but I didn't understand why the chick peas were served a side instead of in the roll. I'm not a fan of fried chickpeas, I like them in their natural state. 

The tapas portion sizes are quite large and filling, about 2-3 plates per person. Since I ordered 6, I brought home leftovers. As there are several options for vegetarians, vegans, gluten-free, and meat lovers, Bang! is a crowd pleaser. 

Overall, I had a hearty meal that put me in a delightful food coma. It's definitely worth the trip from DC.",1315,907
Alexa G.,19/07/18,1,,4,5,"What an experience! I am BLOWN AWAY by the food at this restaurant! I came for restaurant week and shared a total of 9 tapas with my friends. Every single dish was delicious and filled with rich, mouthwatering flavors! I did not think I would enjoy this restaurant this much but it is honestly so good. Our favorites were the pork steam buns, haricot vert fries (green bean fries), the goat cheese dumplings, and Korean beef empanada.

BUT the best and most life changing item was their PISTACHIO BLONDIE with coffee ice cream! It was so good that we had to order another one. The texture was so soft and smooth and the tastes all blended perfectly. Bang makes the ice cream and caramel sauce themselves and you can tell how much quality they put into this dessert. The waitress said that it's the staff favorite but customers always get the Asian doughnuts.... I'm telling you now do NOT sleep on the pistachio blondie!",19,546
Melissa Z.,19/10/18,,,,5,"This is one of my favorite, more expensive restaurants to eat at in cville. The first time I've been the service was awful, but since then, I've had superb service every time. Our waitress even took off your drinks from the tab because we had to wait so long! There's a great Asian fusion tapas menu with food that would be suitable for anyone. If you like goat cheese, the goat cheese dumplings are a must and the firecracker shrimp are always a crowd pleaser. I'd recommend around 2 tapas per person. However, the best thing on the menu in my opinion is the Sin City cocktail - it's a blackberry martini with just the right amount of tang and sweetness and no alcohol taste.",303,493
Thuy H.,10/11/18,,,1,5,"This place exceeded my expectations and I'm so happy with my dining experience. I always have reservations about tapas restaurants because the plates are not filling but this place got rid of all those reservations. The only con is the price- you have to go all out or not go at all. Plan to spend at least $100 with tax and tip for two people. If you don't ball out, you probably will not have a great experience.

Here are some of the items we tried:
-Sin City Martini: This blackberry and pomegranate mix is awesome. You can't really taste the alcohol but the drink is strong. It's tangy yet sweet. Definitely recommend this martini!
-Goat Cheese Dumplings: Calling all cheese lovers. These dumplings will blow you away. They're so incredibly cheesy and crispy.
-Sweet Potato Gnocchi: Gnocchi on a whole new level. The texture is chewy yet tender. The sweetness of the sweet potatoes adds a nice flavor element.
-Crab Pot Stickers: The ginger cream ties together this dish so well. The crab was soft and savory while the wrapper was delightfully crunchy. The shiitake mushrooms topping was amazing.
-House Smoked Salmon: I don't usually like smoked salmon but it's done so well here. The salmon had a smokey flavor that's indescribable.
-Sixty Second 7 Hills Sirloin: MY FAVE. The steak was so tender and well seasoned. It was slightly charred and topped with chimichurri sauce. The fingerling potatoes were the perfect side.
-Firecracker shrimp: This dish was good, although, very basic. It's just fried tempura shrimp with a spicy mayo sauce on top. Definitely something I could make at home. In my opinion, it shouldn't be one of the most expensive item on the menu.
-Pork Belly Bun: Fatty pork belly on steamed bun? Yes, please.
-Lamb Ravioli: The ravioli was really good- filled with a lot of lamb. The sauce was insanely delicious. It had a curry flavor which gave it a nice kick.

Overall, this place is worth checking out. If you're on a budget, avoid this place because the experience will not be there. We definitely had a bang! of a time.",222,186
Angel H.,23/01/19,1,,1,4,"Decided to come here for restaurant week and was not disappointed! The key lime pie martini was amazing; the graham cracker crumbs on the rim provided the perfect touch. Tapas were delicious- 3 tapas will make you very full. The goat cheese dumplings are the best- creamy on the inside but with chewy, crispy wraps. The tuna wasabi flatbread was pretty good, too. The dressing had the perfect amount of wasabi in it, but the pita flatbread could be warmer. The duck potstickers were fantastic- highly recommend that and the goat cheese dumplings. For dessert, we got the pistachio blonde with caramel ice cream. The first few bites were heavenly but it was too rich for me to be able to enjoy the entire dish. 

Service was not bad for how busy restaurant week is. It took a while for the host to seat us, but the bartender was very nice and attentive. Overall, I'm glad I decided to give this place a try!",510,454
Amanda P.,10/03/19,2,,1,4,"I really enjoyed our experience here. I would recommend going here with a big group so that you can share everything. The dishes come out as they are made so it may be a little uncomfortable if you aren't sharing. Our group ordered upwords of 12 dishes so we had a great spread.

The Great:
Brussel Sprouts- I could have eaten the whole thing by myself. The sauce coated the whole sprout and we liked the combination of sauces.
Mahi- my personal favorite. Cooked perfectly and the sauce was delicious. It is a small portion so if you are wanting more than a bite I wouldn't split it between more than 2 people.
Kale Ceasar- nice texture and flavor
BBQ Tacos- mmm. Very tasty and the meat had a nice BBQ sauce
Goat Cheese Dumplings- filled up with a good amount of cheese and they mixed spice in there that made the cheese pop

The Good:
Beef Empanadas- good amount of filling inside it
Firecracker Shrimp- I don't like shrimp so I can't comment but the group liked it. Spicy!!
Chicken Shwarma- cooked really well

The Wouldn't Order Again:
Duck Pot Stickers- were okay, couldn't taste much flavor, only thing that wasn't cooked that well. A few were burned.
Chickpea Spring Rolls- everyone in our group said this was our least favorite dish. We didn't really get any flavor. It was basically mashed up chickpeas without seasoning fried
Drunken Noodles- I would just rather go get some at a Thai place that specializes in that. Others liked it.

The martinis are delicious. I always love a good key lime pie martini. It was pie in a glass! Overall, I love going here with friends and a variety of food.",396,82
Carrie S.,30/03/19,1,,1,5,"I haven't been here too many times but whenever I do, I remember why I love it so much. It's adventurous, unique and delicious.",116,160
Morolake T.,31/03/19,1,,2,4,"A great tapas style place for groups. Ordered several different dishes including the empanada, noodles, general tso's cauliflower, pork tacos, the mahi and the firecracker shrimp. My favorites were the pan seared mahi and the firecracker shrimp. the mahi was cooked to perfection--very moist and flavorful. The shrimp was just a great combo of various sauces. My friends were not a big fan of the Mongolian beef noodles, but I enjoyed them! 

They have some outdoor seating, but I highly recommend making a reservation because they were all reserved when we got there around 6, with an hour or so wait for availability.

The atmosphere inside is nothing to rave about, but outside seating looked like a good vibe.

Drink wise, the southern brew was delicious --kind of mix between a whiskey ginger and an old fashioned.",147,302
Renee B.,13/04/19,,,,5,"Bang! You nailed a diverse vegan/vegetarian cuisine that's unusual enough and delicious enough that I couldn't make it at home. The lychee cocktail is AMAZING! Seriously one of my favorite all time drinks. The variety of food is also so fun, Kung pow cauliflower, kale tortellini, Brussels, all highly recommended! If you are or have a vegetarian friend, wow them here! There are meat options as well to satisfy all palates.",105,10
Vita W.,15/04/19,1,,1,5,"Easily one of my favorite restaurants in Charlottesville. Small plates, Asian fusion, lots of vegetarian options. 2-3 dishes per person is enough and I would suggest going in a bigger group to try more plates, although it's a great date spot as well. They don't take reservations for less than 6 people. The cocktail menu is extensive and on point- the Rosie and da bomb basil are my go tos if you're into gin. Goat cheese dumplings are a MUST.  I always go back to the drunken noodles and kale ceasar, but you honestly can't go wrong with anything on the menu. I've never had less than stellar service. Last time Chelsea manually split our tab for 14 people. If you're in cville this is the restaurant for dinner.",65,15
Ilonachka N.,15/05/19,2,,1,4,"I came here with a group of 10 for dinner and had a chance to try a bunch of different things.

We enjoyed everything minus the fries since the sauce was way too sweet. It's tapas sized so going with a big group is probably best.

Recommended!",398,989
Danielle A.,18/05/19,,,1,4,"This is a very chill, great tapas restaurant in Charlottesville. The portion sizes are just right for sharing and the food did not disappoint. The servers were all very attentive and the atmosphere is very laid back. Indoor and outdoor seating available.",104,143
Harrison L.,31/05/19,1,,,5,"Cheap $7 martinis on Wednesdays! That's really all you need to know. 

The food is pretty good too. Everything is small plates so good to go with a group and order a bunch of food. You tick off what you want with a pencil on an ordering card and then they bring you the food as it's ready. The front and back patios are awesome for summer!

Definitely get Da Bomb Basil martini - it is so refreshing (and has a generous alcohol pour)!",296,226
Allison M.,15/07/19,2,1,5,4,"Came here for restaurant week and feasted! We each got to choose three dishes and we ordered:
-All three of their buns which counted as one tapas: pork belly, shrimp, and king oyster mushroom
-Short rib ravioli
-Lamb dumplings
-Viet pork shoulder
-Drunken eggplant noodles
-Tuna/mango poke bowl

All of it was solid. Definitely got that asian fusion vibe. Honestly my favorite was the king oyster mushroom steamed bun. The bun itself is soft and has got a nice texture that goes well with any of the fillings. But the oyster mushroom was absolutely delicious (if you like mushrooms) and was paired perfectly with their miso mayo sauce. Other things I really liked were the coconut rice in the poke bowl, and the pork shoulder. We left feeling very full! Food came out fast too. They have lots of martinis if that's what you're into!",400,498
Owen B.,19/07/19,5,1,7,5,Made our first trip to Bang for restaurant week and were really impressed.  A huge variety of unique options on the menu and nearly everything we had was great. The most impressive / crave-worthy were certainly the kale tortellini and roasted mushrooms.   I also really liked the smoked salmon on fresh naan. Atmosphere was great (we loved the outdoor seating) and the service was friendly and helpful. And lotsa great cocktails. We will definitely be coming back!!!,379,215
Cristina W.,04/09/19,,,1,3,"It's hard to pinpoint the type of cuisine found at Bang!... there are definitely Asian flavors in there, but they're fusion-ed up with some touches of - dare-I-say - French cuisine and latin flair!  

Came on a Wednesday and was so pleasantly surprised to find out that it was Specials Night!  $6 Tapas and $7 Martinis - what a steal!  We ordered a nice variety - the korean empanadas, the shrimp shumai, the beef noodles, the kale cesar, and the Thai meatballs.  My favorites were definitely the beef noodles and the kale cesar salad, with the meatballs coming in close.  Flavors were fun and interesting!  My one piece of beef (pun slightly intended) with the dishes is that they were a little on the oily/saucy side.  This might just be me, but even though I loved the noodles, I felt like they were dripping with oil.  The salad was bomb, but had a little too much dressing on it for my taste.  The shumai - which are not reaaallly shumai - were slippery and hard to hold their shape.

Please, do not get me wrong - I will most likely be coming back to Bang!  the flavors were on point and unique!  Nonetheless this was my takeaway from my experience.  Also, the service was absolutely incredible!  Our server was attentive and very kind, and continuously making sure that we were well taken care of.  

Beverage wise, I opted for the Joe, which was delightful.  I would also like to point out that they have an incredible Vegetarian/Vegan menu - loads of options if you have dietary restrictions, which is a refreshing change!",313,245
Loren M.,18/09/19,2,,2,5,"This restaurant is in a former house, it's very cozy and has close seating.It's not a traditional table with your setting it all places, some places you just sit on a pillow on the floor and others are a bench and random chair.There is outside seating on the front porch.

They have amazing drinks, probably the best Martinis in town.
There really isn't an option to order a full meal, the whole concept is that you get multiple small plates that you share with others. So if you're not a share you may not want to go with other people.
All of the small plates are quite delicious and paired well with complementary flavors. I've been here at least twice, and I've not been disappointed by any of the plates or drinks I've gotten. Giving us such a small location, if there are big parties of people it can get pretty loud, which makes it difficult to have a nice intimate dinner.",73,4
Heather V.,26/09/19,1,,1,5,"Such a cool place! Had a fantastic meal here you should order the fried cauliflower, I could have skipped the rice and ordered something else. But I enjoyed the steak a lot and the empanada (?). It was delicious and should have ordered 2 of them.",164,422
