Author,Date,Cool,Funny,Useful,Rating,Message,Author Reviews,Author Friends
MP G.,20/04/19,1,,4,5,"Just had an iced decaf Americano coffee with soy. They're still newly getting coordinated but since changing over from La Taza, they kept a lot of the same layout but just added new painting and design. Clean, sleek design and interior with some outdoor seating. Looking tor try their food sometime soon and wine.",234,228
Novianti B.,23/04/19,1,,3,5,"Love this new spot in Belmont. Belle located at former La Tazza location. Parking available also street parking. Surrounded by other Belmont restaurants, Belle surely a great addition. I ordered focaccia with cheese, and cappuccino. Both are delicious. You can have free coffee refill with food order and free wifi, patio seating (so you can bring your fur baby). Definitely a must go!!!'",240,7
Valorie E.,02/05/19,,1,2,3,"Awe I really wanted this restaurant to be good & had high hopes.  First and foremost, it is a very sterile spot and didn't feel very welcoming.  The menu was extremely limited.  I ended up getting eggs with a side of bacon.  I sat down and someone yelled out my name when the order came up.  We weren't sure if we heard it correctly one time and grabbed someone else's (but went back up to confirm).  The bacon WAS good as was the eggs and bread, however, my plastic utensils broke and the cardboard box walls were so tall that it was difficult to eat and I ended up ripping the top off.  It seemed like such a huge waste of paper and the trash can was overflowing with big boxes.  I really hope they're working out the kinks and that they do have a legitimate brunch one day.  It was a great spot!  The coffee is also meh.  I heard another patron mention it as well and they just dumped it out.  I hope to update this review one day soon with something cool!",219,451
M K.,03/05/19,1,,2,5,"Very pleased with my first trip here. Great simple decor, homemade latte syrups, and tons of seating for working. Hoping they grow their grab-and-go food options, like pastries etc. over time so it's easier to just have a light bite with my coffee. Look forward to seeing this spot stick around.",82,2
Laura S.,16/05/19,,,1,5,Airy new spot with lots of light and a good vibe.   Their house made English muffins and fried mushroom poppers are delish!!!,42,184
Mary Kate A.,05/06/19,4,,1,4,"Adorable coffee & wine shop! Parking in Belmont is always tricky, but they have a few spots right out front if you get lucky with timing! 
The service is excellent, but the prices are a bit high and there is a limited food menu. However, it's a nice stop for a quick brunch or happy hour on their patio with friends!",14,175
Michael E.,09/06/19,1,,1,4,"Big fan!  coffee and food is amazing.  A bit slow, but I did not really mind since the output was always excellent!",19,
Bernadette P.,11/06/19,,,,5,Belle is a great addition to the Belmont area! I love the aesthetic and everyone who works there is pleasant. I also have to say that their bagels are the BEST in Charlottesville (sorry Bodos).,1,223
Sam A.,21/06/19,,2,1,3,"Stopped in and got the chicken club. Good in theory but not in execution. Just way to much on the sandwich. The wrapped was soaked in grease. Buttered (made in house, bread was good) with brie, a ton of mayo, bacon, shredded chicken, tomato, pickled onion and arugula. I went through three paper towels eating just half. It didnt need the mayo and the butter and the brie all together. Ate half of it, now I need a shower and a nap.",67,2
Ben S.,25/06/19,1,,1,5,"A welcome addition to Belmont. Before Belle there was no coffee shop or casual breakfast / lunch spot - this fills that requirement! Inside is bright and airy with seating for about twenty, plus they have an outdoor space that doubles capacity. All your standard coffee beverages are available, along with a very vegetarian friendly casual breakfast and lunch menu. Counter order with friendly service. The coffee beverages and pastries we ordered were all great. Prices were reasonable and street parking was easy at that time of day. Definitely recommended!",1128,110
