Author,Date,Cool,Funny,Useful,Rating,Message,Author Reviews,Author Friends
Lumiere S.,24/06/16,10,6,21,5,"Huzzah! Doma proves to be one of the more authentic modern Korean restaurants in the city. We came here for a Friday lunch and were pleasantly surprised by the fresh ingredient display, friendly service, and rustic modern decor. It's clear the staff here take their space seriously! From the wood accents on the walls to the charming succulents near the condiments, there was a lot of details put into the design of the restaurant. 

During our time, we ordered from the pre-set menu at the register. It looked like there was DIY dishes with the ingredients bar, but we did not use it. While the menu does not necessarily use the most traditional titles for the dishes, the flavor is definitely packed in there. I ordered the bento box with spicy pork, extra kimchi, and my significant other ordered the bbq burger with kimchi slaw and a side of fries. Oh. My. Goodness. 

The spicy pork was tender, succulent, and reminiscent of all those late night K-bbq back in my hometown. (If I closed my eyes, it almost felt like I was back in K-town all over again.) The bbq burger was incredible as well. The meat was tender, full of tangy yet savory sauce and the mayo was excellent. The additional sides of kimchi were good but I would have loved more! I also ordered a citrus slushi with real pieces of fruit hand cut and blended with ice. It was very sweet but refreshing for a hot summer day. Overall, if you're moderately hungry the serving size for the lunch portion should be enough for one person. However, if you're in beast mode, consider adding an extra side or two to satiate that appetite!

April the owner was very sweet. She made time to stop by our table to provide samples of the ginger slushi and asked us about our food. Apparently the place is still in their soft open mode, so there may be changes made to service style and menu options. Rumor has it there will be more traditional Korean dishes and desserts added in the future as well as a full service sit-down option for dinner. (I'm secretly not-so-secretly hoping they bring patbingsu to the table!) 

I would definitely recommend trying this place and bringing your friends!",205,853
Ziv H.,09/08/16,1,1,2,4,"There's a giant Korean food gap in C'ville.   No proper BBQ, nor deeper korean menus. The population doesn't support it-- you have to head to Fairfax VA.
Doma bridges a gap. It's a quick-cook restaurant that balances some choose-your-own ingredients with a lighter korean fare, served quick.

Given that niche (and aimed at that level), this is definitely nicer than 'Zz--m' (a different K fast food place).  
A very nice Bibimbap complete with a fresh sunny side egg in too. It ain't Seoul, but this is C'ville and I will be back for lunches for sure. Go!",230,12
Ellie D.,28/08/16,6,5,9,5,"Wow- what a great dinner we enjoyed here.
We had:
Korean chicken wings- so delicious, crispy, perfectly coated and good size
Fried dumplings- great flavor, could have used more/better dipping sauce

Korean BBQ plate: generous of bulgogi- cooked to perfection, nicely caramelized and great flavor. Served with lettuce, rice, kimchi, sauce and veggies. Made into a wrap that was so amazing. Every component by itself was delicious. 

Udon noodles (can't remember the name/not the seafood version). We had chicken in this dish and it was so good! Yummy veggies and fat udon noodles in a slightly sweet sauce, not overpowering. It was delicate yet fulfilling. The noodles seemed a heavy towards the end but were so balanced by the still crunchy veggies. I will dream of this dish. 

Overall, this was a great meal. The staff was really kind and very responsive. Truly a great spot to enjoy tasty Korean food.",79,32
Kevin W.,24/09/16,2,3,3,4,"This place was quite scrumptious. I went with a friend and we ordered the bbq platter and the stir fried udon with pork. The wait staff and time we're both very nice and accommodating. Even though it was very crowded, we got our orders in as soon as we were ready. 

The food itself was very good. The pork belly in the bbq was tender and the udon was delicious. I found the spicy pork a little bit sweet which I didn't enjoy, but other than that everything was really good. We were also constantly checked on by our waitress and we felt like we got everything we wanted in terms of service. 

Overall, this place was great for a quick bite - it was kind of pricy, the udon was $11 and the bbq platter was $15, but it wasn't unreasonable. I would definitely come again and recommend this place strongly!",33,501
Carl C.,11/11/16,3,1,4,4,"Just got off the local train station in Charlottesville for a nice weekend break. So, I look for the nearest restaurant/cafe with a decent and reasonable menu. I did not have to go far when I saw the sign for DOMA. It's just right across from the station.

At the first bite of my spicy pork bbq burger at this restaurant, you got me. The burger had great flavor, the right amount of kimchi and spice, along with plentiful and various veggies, and the meat portions/slices in the burger were ideal

....and they have slushies! So, the lemon slushie went well with my lunch items.

(I am hoping this isn't a fluke, because I am coming back here whenever I'm in Charlottesville)

Service was fast and the chef gave the right recommendation for a hungry and weary traveler like me. 4.5 stars out of 5 stars",129,105
Onvara A.,05/02/17,1,,2,5,"I got the Dolsot Bibimbap (rice with stir fried onions, carrots, shiitake mushrooms, bean sprouts, zucchini, kale, sunny-side up egg, organic tofu, and spicy gochujang sauce). Everything in this dish was amazing! I would definitely recommend getting it.

My friend ordered the Doma Bokum Udon (stir-fried udon noodles with onion, bok choy, carrots, scallions, organic tofu, and sweet soy sauce). It was pretty good, but much blander than the bibimbap. It could've used some more sauce to give it more flavor.

One downside was that parking was hard to find because of the location. I wish they had a private lot because I would definitely come more often!",619,41
Lynn N.,08/03/17,2,,3,5,"Walked by randomly and decided to give it a try. Not only am I excited to see a Korean place in Charlottesville, the food was really good. 

We sat down and ordered dolsot bibimbap with tofu which came in a hot stone bowl and kimchi jjigae. The kimchi jjigae had a rich, wonderful flavor to it. It definitely warms you up on a cold day. It also came with pickled radishes and those were delightful. 

I am coming back here for sure. There were so many things I wanted to try. I didn't even realize there was stir fry. I'm happy I stopped there that day.",42,21
Corinne O.,02/04/17,1,,3,4,"Doma -- an eclectic Korean kitchen tucked just steps away from Charlottesville's picturesque pedestrian mall. There is a modern flare that recalls the pioneer past of rural Virginia. Music, change it. The food is fantastic. The kimchi pancakes, dumplings, and the barbecue plate are all to die for. The hot Bibimbap is also very good. Ask for chopsticks if you want them. Great place vegetarians as well as people with allergies. The service could have been a little faster but wasn't horrible. 

- Corinne and Kara",26,471
Carol F.,09/05/17,2,1,2,4,"I had never expected to find many authentic Korean places on the streets of Charlottesville, but was very pleasantly surprised by DOMA!

Bf and I were looking for a place to chow down after work, and first impression that the place is fast casual, due to the food station being out in the open. Looked like chipotle style. However, you don't order there - you take a seat and get full service. I liked that, because it's a place casual enough that you don't expect to sit too too long, but can still have a full on feast, like we did :P

We started with the soy garlic wings for appetizer. Saucy with balanced flavor. If I were more adventurous that day I would've gone for the 911...someone try it and tell me how it is :3

I had the ddokbokki, which is rice cakes in a red sauce. I must've been treating myself out to something that day, cause I added both cheese and ramen to that dish. Which I recommend! Definitely couldn't finish it in one sitting though. The cheese makes the red sauce super rich, and also everything is just better with cheese. 

Bf had the bibimbap, which was good, although we wished it was served with more hot red paste on the side, since it's usually added to your personal taste. 

I also believe that sides of kimchi should be complimentary...$3.50 for a tiny plate is a bit steep...but it was good nonetheless. 

Go give it a try!",255,606
Gilbert G.,06/07/17,2,,1,4,"This was a pleasant surprise to find traditional Korean food in C-ville.   My wife, two sons (11 yrs, 9 yrs) and I arrived for early dinner (5:45pm) on a Wednesday, and were seated promptly.  On the plus side, we liked the interior design of the restaurant and open kitchen. Both the Kimchi Pajun (pancake) appetizer and Dolsot Bibimbap (with beef) were delicious.  My younger son enjoyed the mandu (steamed dumplings).  On a muggy day in July, it was especially refreshing to drink a cold glass of Kirin Ichiban beer that paired well with the Kimchi Pajun.  Overall, I would strongly recommend DOMA if you're visiting C-ville and have a craving for traditional Korean food.  

On the minus side, parking can be a challenge. If you're coming by car, it may be difficult to find nearby parking on Main St. during peak hours.  However, C-ville plans to implement new paid parking meters in September 2017.  DOMA is within walking distance of the UVA campus.",556,35
