,,Author,Date,Cool,Funny,Useful,Rating,Message,"Author Reviews","Author Friends","Author ID",Location,"Profile URL","Profile Photo",URL
1,,"Thuy H.","2016-12-23 03:44:05",0,0,0,2,4,"This place is definitely one of my favorite restaurants in Charlottesville. It's a cute restaurant located in downtown Charlottesville. The restaurant gives off a hipster vibe and the ambiance is memorable. If you go at night on a day with good weather, definitely sit outdoors. This restaurant is a good place for dates! 

The food is always a hit whenever I eat here. Every time I go, I order the green curry with chicken. The curry here is amazing- I've never had such good thai curry before in my life. The sauce has the perfect consistency. It's not overly liquidity, but it's just right. You can really taste the curry paste and the spices in the sauce. Also, the chicken isn't dry, which is something that's difficult to get right. In addition, I got to try the avocado spring rolls when my friend ordered them. It's nothing special but it tasted fresh. 

This restaurant is also my go-to when I'm ordering food during long group meetings for projects. The quality of food is still the same for take-out!",222,186,Cq2vPctREBBQGHlEAypzqg,"New York, NY",https://www.yelp.com/user_details?userid=Cq2vPctREBBQGHlEAypzqg,https://s3-media0.fl.yelpcdn.com/photo/CGf7P4ohCKA1IOw6UV7HrA/180s.jpg,https://www.yelp.com/biz/monsoon-siam-charlottesville?hrid=
2,,"Julia Y.","2016-12-27 14:03:18",2,1,1,1,4,"Very cute restauraunt. The seating is a bit limited, but we also had a large group (9+ people) and they were able to accommodate us. There are very cute light bulbs hanging as lighting and decor. Was also open the day after Christmas (observed holiday) which was great. 

Drinks are served in mason jars. Ordered the Pad Thai with beef and the serving was large and good. However, some other members of our group ordered other items including the curry which didn't have much substance to it.",126,406,GyTTaz79jsb-uQQBy7rtdQ,"New York, NY",https://www.yelp.com/user_details?userid=GyTTaz79jsb-uQQBy7rtdQ,https://s3-media0.fl.yelpcdn.com/photo/h3hwPMMCjgnD1mInhoPGMA/180s.jpg,https://www.yelp.com/biz/monsoon-siam-charlottesville?hrid=
3,,"Bruce K.","2017-08-10 23:51:42",8,6,6,9,4,"My first meal in Charlottesville and I'll be here for a bit. Monsoon Siam is a short walk from my customer's office and that made them a good choice for lunch today.

Pad Thai with Chicken, spice level 2. A little over-garnished with bean sprouts but after I moved them to the side and dug in, it was delicious. And unlike many Thai restaurants, there was a setting of spices right there if I wanted to kick it up a bit. Good texture and the noodles were done to the right al dente. Lots of flavor, lots of chicken that was cooked right. I would only say that there was a bit too much sauce mixed through the noodles.

I had a nice seat at the bar (it's a full bar!) and could see a little bit into the kitchen, working very hard. It's a nice restaurant, that is a converted house.

Very busy and perhaps they were a little short staffed for the lunch rush, but everyone was pleasant and trying. No points off for that.",23663,2220,hWDybu_KvYLSdEFzGrniTw,"Charlotte, NC",https://www.yelp.com/user_details?userid=hWDybu_KvYLSdEFzGrniTw,https://s3-media0.fl.yelpcdn.com/photo/9Tu6UZcxX00J010Sq5FdSw/180s.jpg,https://www.yelp.com/biz/monsoon-siam-charlottesville?hrid=
4,,"Sarah K. P.","2018-05-22 01:13:09",0,0,0,1,4,"Came here last Thursday while in town for work with a bunch of coworkers!! This is where my boss and I go every year; it's expanded from a group or three or four to about 9 people this year. This is the highlight of my trip! 
I had the Ka Pow with chicken and it was delicious as always!! Just spicy enough that I enjoy the heat; some of my coworkers thought it was super hot so fair warning for you if you're not crazy about spicy food. This time it was a tad saltier than usual, but the white rice in the side helped take care of that. 
Since I was starving I ordered the spring rolls and wasn't overly impressed they seemed over fried and super greasy with no real flavor or substance inside :/ 
They were out of the crying tiger.... which I'm not sure how... since it's also a delicious staple here; but alas some new coworkers couldn't try it. 
The service here isn't great... so be prepared for some waiting for drinks, beer and to order... but the server is really nice and the food is great!!! Every year we come it appears the one girl is the only one working the whole restaurant... props to her. But management might do better if they hired an few other servers.",292,87,yAe1vfIqaaiPgWNcmRn0JA,"Burke, VA",https://www.yelp.com/user_details?userid=yAe1vfIqaaiPgWNcmRn0JA,https://s3-media0.fl.yelpcdn.com/photo/EqQoDpZ3RngQuxWX1YAH5A/180s.jpg,https://www.yelp.com/biz/monsoon-siam-charlottesville?hrid=
5,,"Amanda P.","2018-05-25 23:02:07",1,1,1,1,5,"This is my new favorite Thai place is Charlottesville! Everything we had here was delicious and full of flavor. The service was fast and friendly. Its a little small when the outside isn't open so make sure you take that into account or call for a reservation. I'm excited to go back and try more!

Tom Yum soup- great flavor, chicken was tender, a little spicy but it was to add a little kick which I enjoyed (normally don't enjoy spicy).

Pad Thai- delicious, great amount of sauce of it and cooked really well, peanut taste wasn't too strong which I appreciated. This tied for favorite dish with the one below.

Pad See Eaw- sooo yummy, noodles were a great texture and capture all the sauce, highly recommend.

Ka Pow- got it with beef and it was my friends favorite part of the meal (we shared it all), spicy but can still taste all the different flavors. I could very clearly taste the basil so stay away if you aren't a fan.",396,82,MoLJKb_IVC2unGP3nnNk6g,"Baltimore, MD",https://www.yelp.com/user_details?userid=MoLJKb_IVC2unGP3nnNk6g,https://s3-media0.fl.yelpcdn.com/photo/wzBEm57AdX-Q_e7BP3ht9g/180s.jpg,https://www.yelp.com/biz/monsoon-siam-charlottesville?hrid=
6,,"Ashley R.","2018-09-04 23:40:41",0,0,0,0,5,"*vegan review*

(This was my first time there) 

The waitress I had was vegetarian and actually super helpful in regards to vegan options. She said right up front that they could make pretty much anything without fish sauce. When I asked for the spice tray she showed me which was fish sauce so I'd know. 


As far as the actual food, I love love loved my fresh rolls and I got ""pad cashew nut"" which came with rice. Absolutely delicious and the spices on the spice tray were the best I've had. 

Great portion size in my opinion. 

One negative was that the fryer was broken so we couldn't have any fried tofu or spring rolls or anything. Hopefully this was just a fluke and they get it fixed soon. I didn't knock them down a star for it because sometimes unforseeable things happen. 

Parking is annoying in this area but not impossible.",200,256,3IAXQR42Kc7kqZWqE-4gfg,"Williamsburg, VA",https://www.yelp.com/user_details?userid=3IAXQR42Kc7kqZWqE-4gfg,https://s3-media0.fl.yelpcdn.com/photo/CJnHOOsijuxAzkiBItzuvw/180s.jpg,https://www.yelp.com/biz/monsoon-siam-charlottesville?hrid=
7,,"Ariel B.","2019-01-31 10:00:43",1,0,0,1,4,"Really good first experience here! 

My friends kept saying that the food here was excellent so I finally went with them to try it out. 

The place itself is super cute; I really loved the hanging lights and atmosphere. It was pretty popping for a Sunday night (when we came) but service was great the whole night. Even when we messed up on how to split the check the servers were really patient and kind (forgive us!). 

The food itself was super solid! I got a beef pad see ew and really loved the flavor. The noodles were just the right texture and the beef wasn't too fatty. Will say that I didn't really enjoy the mostly stems that were used instead of actual broccoli flowers, but everything else was tasty. 

My friends also enjoyed their meals, and will definitely have to come back to try the thai tea :)",365,332,xfKs07TbzZJFpj4KzFE2xA,"Washington, DC",https://www.yelp.com/user_details?userid=xfKs07TbzZJFpj4KzFE2xA,https://s3-media0.fl.yelpcdn.com/photo/TD2T1Dzaw3i9QazaojcTZw/180s.jpg,https://www.yelp.com/biz/monsoon-siam-charlottesville?hrid=
8,,"Drew V.","2019-02-12 17:08:11",0,0,0,0,3,"Only thing not average about Monsoon Siam was the price.

Ordered spring rolls, they were okay. Very crispy so 1/4 of the shell breaks off when you go to eat them.

Would have preferred duck sauce over the sweet and sour sauce they used.

Was in the mood for fried rice, did a chicken and beef chicken fried rice. Charged for full beef, even though I didn't receive ""double meat"" portions. Not a big deal but when your bill is $35 for 2 basic entrees & 4 spring rolls sort of makes you wonder.

The fried rice was not bad, it was very bland. Gordon Ramsey would say that chef mike made it, you know.. the microwave.

I don't actually think they microwave their food, just that the fried rice was bland.

Hard spot to get to, if the town is busy best bet is to park in the open lot near the restaurant or up further at the east market parking garage -- this would be a bit of a hike though. Some free on street parking behind the restaurant if you can find a spot.",172,59,TBysad8N33-tmzyfdbAGTQ,"Fairfax Station, VA",https://www.yelp.com/user_details?userid=TBysad8N33-tmzyfdbAGTQ,https://s3-media0.fl.yelpcdn.com/photo/tn9meV5-tWiDfa8HYuJUdg/180s.jpg,https://www.yelp.com/biz/monsoon-siam-charlottesville?hrid=
9,,"Aman M.","2019-05-06 21:49:32",1,0,0,2,5,"This is the best Thai spot in Charlottesville. I ordered their Spring Rolls to start, which are a perfect (and healthy) snack to get you started. 

The Pad Thai is pretty good but my favorite dish here is the Kao Soi with softshell crab. That dish was the perfect combination of crunchy, spicy, and flavorful and one that I very much enjoyed. 

The ambiance here is also amazing. Sitting outside for dinner is a great experience and one that I highly recommend.",19,874,j60Si5paPN_CpWKmdhbLug,"Charlottesville, VA",https://www.yelp.com/user_details?userid=j60Si5paPN_CpWKmdhbLug,https://s3-media0.fl.yelpcdn.com/photo/QtNb6jbiyFCAnMgns3h-xQ/180s.jpg,https://www.yelp.com/biz/monsoon-siam-charlottesville?hrid=
10,,"Ziv H.","2019-05-09 00:44:43",0,0,0,0,4,"And we were seeking a pleasant outdoor meal at a nee place with a casual face. New to us, though a C'ville standard.  
Outdoor seats give you a perch over the Market street climb toward 2nd street. Metal patio seats of a harder bench, bossa nova, and melody gardot in the background. An empty patio quickly filled on a Tuesday night with smiling diners.

The thai food was good. We planned to stray from the curries, but the waiter, when asked, insisted twice the curries were fresh made.   Green and red curries were flavorful.  Maybe not top notch all times, but among top rank in charlottesville.  Asked if I could 'tolerate spice' in the green curry, yea.  Hardly thai heat, more an american summer--If seeking ask for more.

The beef salad was a proper one and recommended.

Can't speak to the rest, as we didn't eat more, but the menu was quite varied.

We'll be back to explore. And seated outside.",230,12,CKGp1MGRjqPFheWXprJC9g,"Charlottesville, VA",https://www.yelp.com/user_details?userid=CKGp1MGRjqPFheWXprJC9g,https://s3-media0.fl.yelpcdn.com/photo/CND-LV2TRDKFX35PxlhlFw/180s.jpg,https://www.yelp.com/biz/monsoon-siam-charlottesville?hrid=
