Author,Date,Cool,Funny,Useful,Rating,Message,Author Reviews,Author Friends,Author ID
Angel H.,7/29/18 2:23,1,1,1,2,5,"Came here for drinks and really enjoyed the cocktails and appetizers! Service was on point and the ambiance was perfect. The restaurant decor is beautiful and the lighting was perfect. Bar seats were large and comfortable, too! 

I got the Riviera cocktail- a Bombay gin, Pimm's cup, lavender lemonade, and cucumber slices mix. Absolutely loved it! It tasted so refreshing in the summer heat. The Paasionera was great too, though a little strong for my taste. 

The complimentary hummus and bread was delicious. The bread was soft and the hummus was mixed just right. The bruschetta was beautifully prepped and very satisfying as well! Each slice of French bread had two giant chunks of mozzarella and tons of prosciutto. The dish went perfectly with the cocktails. We ended with the side of fries and were stuffed! It was a giant bowl of garlic and parsley seasoned fries- loved every bite of it! 

I can't wait to come back and try some of their entrees. 

Dinner is amazing!! The gazpacho was perfect! So refreshing and so full of flavor, the richness of the tomatoes was heavenly. The salad was fresh and the dressing was not too heavy. The grilled salmon was perfect. Every bite was fresh and the balance between crispy and tender was just right. The drink menu is extensive and dinner came with complimentary chocolate chip sea salt cookies! I love Orzo!",510,454
Rachel V.,8/3/18 2:18,0,0,0,3,5,"4.5 Stars really but generally close to 5 for sure!!

The only slight negative is the drinks seem to come out very s-l-o-w-l-y. Like 25 minutes after you order kinda slow. 

But, the good stuff:
-water refilled frequently 
-all food is fantastic- plated beautifully, tastes amazing, and very fresh! We shared the octopus salad, hubby had pasta Bolognese, and I had the steak and salad. 
-the limoncello basil drink is OFF THE CHARTS
-very friendly staff & management 
-fantastic place for a date! (BUT maybe not a first date cuz I think the MO is relax, enjoy, sip wine and if you don't click with a date it could be painful hahahha! But seriously this place is so cute. 

This restaurant is very reasonably priced for the quality & quantity of food you get. I WISH we could find such authentic, flavorful, and fresh food at these price points in DC. Most expensive entree was $28. Great selection!!",385,68
Owen B.,1/27/19 14:15,2,1,1,3,4,"We love Orzo.  We go there a lot.  The food is always very impressive and reasonably priced. Good cocktails, good service, and a comfortable atmosphere.  Last night we stopped in for Restaurant Week and tried some new things.  Their mussels are the best we've had and we order mussels a ton. Very traditional European style with a creamier broth and little bits of sausage and cheese.  Her salmon was perfectly grilled and super tasty, and my lamb shank was tender enough to eat with a spoon. 

My two gripes would be the olive oil poached tuna appetizer was really dry and likely way over cooked.  The dish was good, just the texture of the tuna unpleasant and kinda just  can-esque. 
Secondly the draught beer comes in these stupid champagne flute looking thing.  It holds maybe 8oz and each pour still costs $6....seems a bit bass akwards.  Use a normal pint glass please!",379,215
Ana D.,4/14/19 16:47,0,0,0,2,4,"Came here for a group dinner. There were 11 of us and they do take reservations. Had halloumi cheese and 18 month prosciutto for appetizers, they were both very good. 
If you like tequila, recommend the pasionaria drink, one of the most tasty drinks I've had in Charlottesville or ever. The rim is covered with a spicy powder (but not too spicy, just enough to be flavorful). 
I had the pork chop for dinner and it was not my favorite. It didn't have a bone. It was tender but, not enough sides in the dish, mostly just pork. 
Had the semisweet chocolate pot de creme for dessert and this was probably my favorite part of the meal. If you have a sweet tooth and love chocolate, definitely give this one a try. 
I would come back for the apps, the drinks, and the dessert. Would probably give another main dish a try.",280,235
Taylor R.,9/12/19 18:20,1,0,0,1,5,"We came here for dessert but dinner to go and both were amazing!! We got tiramisu and the bolognese for dinner. The pasta was a little spicy but soooooo good!! We brought our dog along and they treated him so well and brought him a little bowl of water which we were sitting on the patio. Overall great service, atmosphere, and food!",131,31
Morolake T.,10/16/19 20:51,1,1,1,1,3,"Came here with a group of four on a Tuesday evening. Our waiter was friendly and attentive. We started by devouring the complimentary bread and hummus and moved on to the Halloumi Cheese. It was really good--especially the sauce it sat in. We also shared the mussels--& wasn't a big fan of the broth. I'm not sure if it was because the cheese and fennel mix, but something was off.

I had the NY strip steak, and the double baked potatoes. They let me sub the broccoli for the Brussels sprouts. The Brussel sprouts In my meal were better than the ones that came as a side dish, but still not amazing.

The last time I was here I had the lamb and risotto, so I think they have a rotating menu. That lamb was amazing, so I was a little disappointed with this meal. It was a solid place to eat, and great mood setting, but nothing to call home about.",147,302
Vita W.,11/2/19 15:02,0,0,0,0,4,"-What you need to know in a sentence: Tasty ""creative"" Italian with an extensive wine menu for a nice meal out.
-Ambiance in threeish words: dimly lit but not quite romantic, warm but not quite homey
-Treated like: a polite coworker is making sure you're okay.
-Must try: halloumi cheese, chorizo & calamari pasta
-Other random tidbits: there's an outdoor area, although I've never sat there. Orzo is pretty accommodating with semi large parties",65,15
Christina Z.,4/14/20 23:24,1,1,1,2,5,"Update 4/2020: Orzo's Curbside Dinner Pickup helped us celebrate our anniversary at home in these times of social distancing. It's definitely a splurge option in terms of curbside dinner takeout ($20+ for most entrees) but it was a really nice way to enjoy a fancy dinner for a special occasion! Ordering online and the curbside pickup was very easy and allowed for contactless drop off in the car. 

For dinner, we shared 1 appetizer, 2 entrees, a dessert, and a bottle of wine. Plus we got 2 surprise chocolate chip cookies! Our favorite part was the 18 month prosciutto di Parma bruschetta - the bread was grilled without being too dry and absorbed the basil oil nicely and the creaminess of the mozzarella balanced the saltiness of the bread and prosciutto. The bolognese was delicious and meaty, and the steak was grilled nicely and came with potatoes and asparagus. For dessert, we had the olive oil rosemary cake which was light and not too sweet. Overall, it made for a lovely meal!",360,52
Catherine M.,8/3/20 15:44,0,0,0,1,4,"In the time of COVID, it was pretty hard to find a restaurant serving indoors and past 8PM. They accommodated our party and service was pretty quick and efficient. I am not sure if their menu is limited due to COVID but for a place that says it serves tapas, I was confused on their limited amount of tapas. I did like the patatas bravas as they were really spicy and perfectly cooked. I got spaghetti with meat sauce which was decent but nothing to write home about. Their sangria was good but definitely not the best. Overall, a pretty good date spot and would be interested in trying some of their other offerings.",1297,99
Jessi S.,9/20/20 11:29,2,0,0,5,4,"It was pretty difficult to get a reservation at a decent time while they are only operating at limited capacity. I found one of the hosts who answered the phone a bit rude and told me to do everything online (which I had already done, but had trouble modifying), luckily another host a different day worked with us. Our food was great, and despite mixed reviews on the haloumi cheese, we enjoyed it. The octopus salad was nothing impressive, but all the entrees were tasty. I was actually shocked by the price point and serving size and expected a bit more. And all the decent bottles of wines were $50+. My lamb shank ragout was the favorite- so tender! The strip steak came in close second in my opinion, and the sword fish and bucatini satisfied those who ordered them. And of course- there were no leftovers!",437,386
