,,Author,Date,Cool,Funny,Useful,Rating,Message,Author Reviews,Author Friends,(view source)
1,,Alyssa M.,10/04/21,,,1,5,"This restaurant was such a great find during our stay outside of Charlottesville! Amazing food, super courteous staff and a great atmosphere. I would recommend this place to anyone in the area. Our table split some of the tomahawk steak and it was cooked perfectly!! Would suggest the mac n' cheese and any of their apps as well. The owners were so kind and down to earth. Love this place!",28,,view review
2,,Olivia B.,12/04/21,,,1,4,"I enjoyed an excellent brunch a few Sundays ago and will return. The selection is bountiful with basic breakfast choices to entrees. They offer signature cocktails to accompany the deliciousness The Ridley Bruch has in store for you!! I highly recommend the Jalapeno Cornbread, French Toast, and a Mimosa for starters!",2,7,view review
3,,Nour O.,14/05/21,1,1,3,5,"What an unexpected great meal at The Ridley! Although, the star of the show (unfortunately not pictured): the wings! I did not have any expectations so I was amazed. It has the absolute perfect crispy outer crust. The wings were so tender and delicious. We were in the mood for brunch. The french toast was the fluffiest and thickest I've seen. It has an interesting flavor because it is cereal crusted but I really enjoyed it! The strawberries were a great compliment. It was a really big meal which is enough for 2 people. If you eat slow it might get a little soggy and cold which is less enjoyable. The crab cake Benedict was also a great and filling meal. It wasn't as crabby as I thought it would be. But that was a perfect balance. The Ridley is located under a hotel, and so the atmosphere is an upper-end establishment.",33,129,view review
4,,Erin R.,30/05/21,,,1,4,"Review for drinks only:
Enjoyed sitting at their light and airy bar (even on a cloudy, rainy day!) to watch some sports and enjoy a few drinks. For how expensive the food menu looks, I was happy to find a $8 pinot noir, which was very easy drinking.   It was an enjoyable place to waste a few hours.",1001,313,view review
5,,Philicia R.,14/06/21,,,,4,"Recently visited the Ridley. The service was great! She was knowledgeable about the menu and could give recommendations. 

For starters, we ordered Brussel sprouts, deviled eggs, snapper bites, and jalapeño cornbread. Everything comes out in a small cast iron skillet except the fish bites. The fish bites include fried carrots and zucchini. Would definitely recommend. The cornbread is amazing! The texture melts in your mouth. Similar to a cake. The Brussel sprouts are topped with bacon and shaved almonds.

If going for dinner right at 5, give yourself enough time to find parking. The parking there is $5. We were late for our reservation, but when I called they were very understanding. We parked on the street.

The shrimp and grits were great! They were cooked just right. The shrimp were very large! It's a large portion. I originally asked for Bleu cheese when I ordered a salad. The salad came with ranch. The waitress quickly remedied this and bought a different dish. If you're in the area and looking for southern cuisine, I recommend trying.",16,164,view review
6,,AC O.,22/06/21,,,1,5,"This restaurant was amazing! We had fantastic service, everyone was very nice and accommodating. Our food was very very good. One of the best meals we have had in a long time. My husband had the Tomahawk steak and brussel sprouts. I tasted it and it was delicious. The steak melted in your mouth. I had the scallops with the crisp spicy grit cake and chow chow. I will dream about that meal it was that good. We did have reservations and at first it wasn't busy but it dis get more crowded when our dinner was almost over. I would def go here again. Highly recommend!",14,100,view review
7,,Roy T.,25/06/21,,,3,5,"The Ridley was our first dining indoors experience since the Pandemic started. It was my wife's birthday and the food was AMAZING. 

The atmosphere was truly top notch and the staff were quite accommodating. 

I had the roasted chicken, Tammy had the Shrimp and Grits with andouille sausage and we shared apps. 

We weren't drinking, but if I find myself in Charlottesville again, I'm gonna try their signature old fashioned with VA Bourbon. 

The deviled eggs had enough mustard to cut through the extra creamy blend with a shard of bacon on each that elevated them beyond normal. The jalapeño cornbread was a sublime mix of sweet and heat. 

The chicken was perfectly cooked and the carrots roasted to a turn. They were just starting to soften on the outside while still crispy in the center.  I truly enjoyed the roasted pearl
onions which popped in your mouth like flavor bombs. The mashed potatoes where divinely blended.  The grace notes with the rosemary spear and the seasoned salt surrounding the dish so you could spice to preference, individually, on each bite were brilliant. 

After dinner we each had a cup of coffee that ended the evening perfectly. 

Definitely will be returning our next time through Charlottesville.",13,53,view review
8,,Carolyn O.,21/08/21,,,1,2,"New owners really need to step up.  Disappointed in Saturday brunch.  Menu incorrect on at least one item.  Slow service.  Below average food:

French toast not as menu states at all.
Gumbo shrimp still had shells on them.
Bloody Mary tasted of Old Bay and nothing else.",28,71,view review
9,,Ryan K.,07/09/21,1,,2,4,"Decent food. We sat at booth and had dinner at the Ridley on a Saturday night. The Ridley has TVs everywhere giving it the feel of an upscale sports bar. I tried the fried brussels sprouts (without the nuts), the scallops, and the cauliflower steak. The brussels sprouts were excellent and could not have been prepared much better. The scallops were tasty and seemed fresh but were very overcooked (the chef may have been distracted while cooking them). The cauliflower steak itself was tough, but not unappetizing. The fixings for the cauliflower steak were delicious however. Overall, the Ridley was pretty hit-or-miss for me as a dining experience. i don't think the Ridley is a bad restaurant, but there are certainly better options in Charlottesville.",674,21,view review
10,,J E.,02/11/21,4,,5,3,"While staying in C'ville I came here one evening for an appetizer and a couple of drinks. I sat at the bar and was immediately given menus, though I wasn't greeted. The bartender seemed to be pre-occupied much of the time, but was attentive once I got his attention.
They have an interesting menu and also offer cocktails ad wine. The food I saw others get was really nice looking and my brussel sprouts were excellent! The cocktail he made me was really good too.
Prices are ok, a little on the high side. I did like the vibe here, seems like a great place to hang with friends or come for a date.
I'd return.",2898,94,view review
11,,Hector B.,09/11/21,,,1,5,"Another wonderful dinner experience. The service was wonderful from the start to the finish.   The food was very good. We started with deviled eggs which were awesome. My nephew had Burger and fries and just loved it. I enjoyed the shrimp and grits which were different than normal, but were very good.  It seemed to hint more towards the Cajun side than the Southern.. The sauce was dark and little more spicy. Great drinks and decent beer options. Some nice Southern style dessert options. We had the brownies which were wonderful.  Overall it was a very tasty experience with great service and great environments. I will return.",1376,212,view review
12,,Caitlin C.,12/12/21,,,1,5,"Such a gem! 

We had a brunch reservation, but were happily seated early! Wonderful atmosphere, live piano music and outstanding service! The chef checked on every patron to ensure they were pleased with their meal, and the waitstaff was so attentive and friendly! 

The quality of food blew me away and the price point was incredibly reasonable!",8,30,view review
13,,Eva Maria T.,28/12/21,1,,1,4,"We stayed at The Draftsman hotel which is attached to The Ridley. We had breakfast each morning we were there and dinner on Christmas Eve. Food and service were quite good. Staff were very friendly, professional and welcoming. All ingredients were fresh and presentation was visually appealing. Loved the small touch of  real whipped butter at breakfast. Makes spreading on toast much wasie All in all a good experience.",153,72,view review
14,,Krista R.,05/02/22,1,,2,4,"Came here for restaurant week and hadn't been here before but heard some things from fellow UVA coworkers. I tried the Brussels, salmon, and brownie. My friend had the devil egg, steak and cinnamon raisin bread pudding. Everything was really good. But the Brussels and salmon could do without the hot peppers. It didn't had any flavor and just didn't go right with the dish. The Brussels with nice and crispy just perfectly cooked. The salmon with corn was AMAZING. I have a weird obsession with corn  so I was excited to have it come on the dish. The flavors were a perfect mix but again the peppers didn't had any flavor but just spicy that didn't mix well with the dish. The brownie and ice was sooooooo good. I tried my friends steak with chimichurri which also was perfectly cook and the garlic mash was a nice flavorful touch. Her dessert the cinnamon bread pudding was also yummy. Would recommend this place but they need to maybe lay off the peppers in the dishes it just didn't mixed well.",247,352,view review
15,,Maria R.,28/03/22,1,,,5,First time visiting Charlotte and they did not disappoint! Hubby and I were seated right away. Restaurant was clean and not crowded or noisy. Food was prepared quickly and it was downright addictive! I would drive all the way back just for the jalapeños cornbread!,60,2,view review
16,,Valerie G.,28/03/22,1,,2,5,"This restaurant is in an amazing area and has some really good history with all the restaurant got started. Parking was a pain. There's a parking garage directly behind the restaurant, but it's only for the hospital and we wouldn't have known that because the machine let us grab a ticket, but there was a guy that asked if we had an appointment lol. Then there's also a sign that says ""restaurant parking"" right up the street, butttt there is no parking lol it's all permit parking. So we found parking called (I think) ""14 street garage"", it was a 3-5 mins walk, not horrible at all. We weren't here for Sunday brunch, and didn't need a reservation. But it may be best to make one online if you have a big party. The staff was so friendly and they were all wearing mask. It was very clean and the decor was on point. The price point of the food is steep, so plan on spending money. It's very worth it though. We got deviled eggs, which I think was around eight dollars. Shrimp and grits which was $28! And French toast which was $16. We both had alcoholic drinks and ended up spending $86 (before tip) for two of us. But the food is so worth it. The flavors are amazing!! If you're a Natty Bo fan, they serve it here. I was very excited haha",489,219,view review
17,,Sierra G.,07/04/22,,,1,5,"After staying at the Draftsman, my friends and I travelled downstairs to restaurant connected to the lobby, The Ridley. It's safe to say that we're glad that we did. Their lemon drop martini's are to die for and paired perfectly with my steak caesar salad. My friend also thoroughly enjoyed the turkey club. Great ambiance and staff. Definitely will be returning when visiting again!",11,2,view review
18,,Andy N.,16/04/22,,,2,5,"The Ridley was always on my list to try. And it did not disappoint. While a bit pricy, you get everything that you pay for. The flavors are explosive in every aspect. Presentation was phenomenal. And this is an incredible place to treat yourself every once-in-a-while. I can not rave about this place enough. It was absolutely delicious, and I look forward to coming back and trying their other items.",229,88,view review
