,,Author,Date,Cool,Funny,Useful,Rating,Message,"Author Reviews","Author Friends","Author ID",Location,"Profile URL","Profile Photo",URL
1,,"Allegra S.","2018-03-12 11:53:43",0,0,0,1,5,"I'm only in Charlottesville once or twice a year visiting with friends but the local is usually a go to for our group! Recently they allowed us a private dining area, it's literally a separate building that houses many of the local wines they serve, intimate but spacious enough for up to 40 people comfortably. 

They allowed my friends to select a set menu with a variety of options for only $50 per person, this did not include alcohol. For a four course meal the price and good was great. The mushroom risotto was amazing as was the lobster macaroni and cheese for starters! The salad was even great and I'm pretty indifferent to most Restaurants house salads. The steak was cooked perfectly and seasoned well, I'm a MD girl so the crab cakes were just ok to me. The desserts were yummy as well. Overall great service and great food.",140,35,3V_0BaUU9EVcxZaQMcz3wQ,"Gambrills, MD",https://www.yelp.com/user_details?userid=3V_0BaUU9EVcxZaQMcz3wQ,https://s3-media0.fl.yelpcdn.com/photo/ka7JKuEIaQ4oUVSrCS8k6w/180s.jpg,https://www.yelp.com/biz/the-local-charlottesville?hrid=
2,,"Vivian K.","2018-07-31 03:03:57",0,0,0,1,5,"The Local is one of my favorite places to eat in Charlottesville. Relative to other restaurants in Charlottesville, I think the Local has the best pricing for awesome food. - all in all, a PERFECT semi-formal DATE SPOT. Even affordable for a college student trying to do something a bit more fancy for a night.

FOOD: fresh and sourced locally! Hence this place's name. I think they've truly perfected the flavors here. Of what I've tried, the pork chops are great as are the roasted cauliflower and their steak. Their berry cobbler dessert is delicious as well. The fact that I've been here 3 times and have enjoyed my dishes every single time gives this place a 100% in my books.

SERVICE: So kind and so knowledgeable! I forget my servers name but everyone around us commented how awesome he was and their desire to tip him well. - white guy with brown curly hair!

AMBIANCE: Cute, cozy, and also great outdoor seating if you so wish. Their back area has a cool painting of birds as well.

Honestly 10/10, if you need a consistently great, semi fancy date night place TAKE HIM/HER HERE.",15,666,wdZ830KE1cD1W_mILrR5_Q,"Centreville, VA",https://www.yelp.com/user_details?userid=wdZ830KE1cD1W_mILrR5_Q,https://s3-media0.fl.yelpcdn.com/photo/9yPYvKSh2TI6QU_Bd_kH7w/180s.jpg,https://www.yelp.com/biz/the-local-charlottesville?hrid=
3,,"Wei L.","2018-08-08 22:15:00",1,0,0,1,4,"I've had the opportunity to come to The Local both for work events and with friends and the food is always great every time I come by! It is definitely consistently high quality food that always leaves me feeling full and happy. I've had everything from the trout and burgers to steak and short ribs and food is always hot, fresh, and very well seasoned and flavored. 

One of the best things about this place is that there is so much ample space! It's absolutely great for large, large parties and there a ton of starter platters that can be made to share. 

It's a bit pricey to be eating here regularly, and the semi-formal vibe makes it difficult to justify as an easy option for dinner. The location away from UVA grounds also makes it a slight inconvenience to get to if you don't have a car, but it's a great place to bring guests as a solid introduction to the Charlottesville food scene!",94,213,_EYEbSSt_fnQ1mRNcaw59A,"Charlottesville, VA",https://www.yelp.com/user_details?userid=_EYEbSSt_fnQ1mRNcaw59A,https://s3-media0.fl.yelpcdn.com/photo/csf2fvINiKC9UxjC5ss2GA/180s.jpg,https://www.yelp.com/biz/the-local-charlottesville?hrid=
4,,"Katie C.","2018-09-17 22:32:56",0,0,0,0,5,"Went here for a rehearsal dinner and had the private room off to the side. It was filled with a warm ambience and so uniquely laid out - the wood and lighting complimented each other very well.

I had a house salad which was unique with pickles onions and an Asian flair, and the salmon, which was baller. The big cous cous was delicious and the green beans were flavored well too.

The presentation kind of looked like it was just thrown together on the plate, but keeping 5 stars for the great service and not having to wait very long at all for our large party (there were about 15 of us).",148,15,Ofjmtygn_MuO6kn5ahuZYw,"Richmond, VA",https://www.yelp.com/user_details?userid=Ofjmtygn_MuO6kn5ahuZYw,https://s3-media0.fl.yelpcdn.com/photo/DRwrEiAU-EkLUhVgCjKqVw/180s.jpg,https://www.yelp.com/biz/the-local-charlottesville?hrid=
5,,"Elizabeth M.","2018-11-11 15:50:05",1,0,0,0,4,"I frequented The Local when I lived in Charlottesville and loved it, and I recently went back for a reunion weekend with some friends. We made a reservation about a week in advance since we had a party of 7.

The food and wine were delicious. Our table split a bottle of Pinot Noir. I ordered my usual, the Truffled Mushroom Ragout (Sharondale Farms shiitake, crimini, and oyster mushrooms, white truffle oil, and parmesan cheese, tossed with fresh house made fettuccine). It was yummy as usual! 

The only reason I'm deducting a star is because our waitress acted super weird when the majority of us ordered pasta instead of entrees. She goes ""you guys and your pasta! The entrees are much better."" I guess she was trying to guilt us into ordering more expensive items off the menu? Very odd.",401,302,rd0J9qgJsrU7YnfzLb1eQw,"Philadelphia, PA",https://www.yelp.com/user_details?userid=rd0J9qgJsrU7YnfzLb1eQw,https://s3-media0.fl.yelpcdn.com/photo/vrVBF8DfTpYIm_j2br9t-A/180s.jpg,https://www.yelp.com/biz/the-local-charlottesville?hrid=
6,,"Haj R.","2019-01-07 05:19:36",0,0,0,0,4,"First time here along with a large group. They take reservations which was good for us as the place is popular and quickly filled up at dinner hour. Great selection of appetizers, wine, and entrees.

Food quality is excellent and the wait staff is very friendly and attentive. I went with the pork chop which was delicious and I would highly recommend.

I will be back in Charlottesville in the Spring (2019) and will definitely come back to this place for dinner.",351,63,j0o66xzoo0veDsBdU7hg4w,"Ashburn, VA",https://www.yelp.com/user_details?userid=j0o66xzoo0veDsBdU7hg4w,https://s3-media0.fl.yelpcdn.com/photo/PR5qoQ3q7GamAtgsmroXkQ/180s.jpg,https://www.yelp.com/biz/the-local-charlottesville?hrid=
7,,"Ben Y.","2019-01-31 16:50:24",0,0,0,0,5,"How anyone could give this place less than 5 stars sickens me. Nothing but praise for the Local, its ambiance and decor is this rustic feel that feels formal but also homely. The food here is art. The pasta is clearly freshly made and the meat quality here isn't gamey or dry. 

I've been here two times, the first being on a date. We both ordered pasta and it didn't disappoint. The second time being here was my birthday. The fries that came with my father's steak were delicious (I began to poach them after my meal was finished) and I personally got the glazed pork chops, which came out succulent and delicious. The cocktails here are unique and often times the Local tries to put their own twists on the mixed drinks that can be offered here. Nothing but praise for them.",253,625,RZk70m4TM6NRscEZfW_Cfw,"Lynchburg, VA",https://www.yelp.com/user_details?userid=RZk70m4TM6NRscEZfW_Cfw,https://s3-media0.fl.yelpcdn.com/photo/8J451B-_y0p-9UyXtpA3gA/180s.jpg,https://www.yelp.com/biz/the-local-charlottesville?hrid=
8,,"Leah G.","2019-03-28 21:18:08",1,0,0,2,5,"I've been here at least 2-3 times for special occasions (valentine's day, double dates, etc.) and it's been amazing every time! Each time I've gone, I've made a reservation on Open Table and was seated right away. I definitely recommend making a reservation if you're going from Friday to Sunday.

Atmosphere - I love the ambiance. The downstairs is sort of a classic wooden rustic bar area, and the upstairs is more of an open concept fancier restaurant with twinkle lights. If you have any family or friends visiting from out of town, this is a perfect place to take them for a nice, but casual night out with dinner and drinks.

Service - The service has always been super quick and the wait staff is extremely attentive, even when it's a busy Friday or weekend night.

Parking - There's not much parking in front, but there is a neighborhood on the parallel street over with ample amounts of street parking.

Most importantly, FOOD - I'm not a vegetarian, but I don't eat much meat. I LOVE their Truffled Mushroom Ragout. It's so creamy and rich without being too heavy. I usually get the double/larger portion so that I can take it home and have it for leftovers the next day for lunch! My friends have ordered the salmon, the burger, or the steak with rave reviews as well.

*Must try appetizers:
Fried Cauliflower & Brussels Sprouts
Crispy Shrimp",26,517,8wK1vUs2AmduHp8Hv0RzQA,"Charlottesville, VA",https://www.yelp.com/user_details?userid=8wK1vUs2AmduHp8Hv0RzQA,https://s3-media0.fl.yelpcdn.com/photo/2wcxo9nNmeXVTu7rUqW2Gg/180s.jpg,https://www.yelp.com/biz/the-local-charlottesville?hrid=
9,,"Zhana E.","2019-04-13 00:49:15",0,0,0,2,3,"This place is always hit or miss, with the speed of service and quality of food. I've been here a few times and last night was really no different. The food was just OK, and didn't feel like anything special. However the food has always tasted fresh, just not always impressive enough for me to make my way to Belmont. 

The decor and feel of the restuarant is fantastic though. I love the rustic feel. It is a good place for conversation too, so if you just want a place to grab a drink and catch up with friends this is good place.",114,186,3YN4ezjawVFZhux8NRhEIQ,"Charlotte, NC",https://www.yelp.com/user_details?userid=3YN4ezjawVFZhux8NRhEIQ,https://s3-media0.fl.yelpcdn.com/photo/qOUKaJToAOqH0_KC7afvSA/180s.jpg,https://www.yelp.com/biz/the-local-charlottesville?hrid=
10,,"Owen B.","2019-05-03 10:00:04",1,1,1,2,4,"3.5/5 stars.  Solid dinner but some misses along the way.  I will say that for the price, the food is excellent. The Local reminded us of many of the higher end places around town (Oakhardt, Duners, Orzo, etc), except the food was certainly a small step down from those place BUT the prices were also noticeably lower.  Cheaper 'date night' prices, pretty solid food, super close and convenient.... overall Local is worth trying out. 

We followed the waiter's recommendations and got the crispy shrimp and flash-fried sprouts as apps.  Shrimp were something you can find anywhere (i.e. bonefish) but the fried sprouts were pretty tasty.  For dinner I had the fried local chicken and she had the salmon.  Her fish was good, but the underlying rice was super goopy and tasted like it was cooked in a crockpot with canned cream'o mushroom soup. My chicken had some excellent flavor but the bulk of my meat portion was just fried chicken skin with minimal actual meat. We also had a side of Gus but with only 6 spears for $6... you'll want to skip those. Lastly, our server was friendly but kinda hard to understand b/c he worked&talked at the speed of light.  Woah, slow down dude.",379,215,RUkLH1i152bEqfqwgnOpjA,"Charlottesville, VA",https://www.yelp.com/user_details?userid=RUkLH1i152bEqfqwgnOpjA,https://s3-media0.fl.yelpcdn.com/photo/qnZl5hAA7McPlI_MPaz80Q/180s.jpg,https://www.yelp.com/biz/the-local-charlottesville?hrid=
